solver;pc;dt;np;L2;H1;time
gmres;cholesky;6.25e-08;8;9.92165527642892e-14;2.0645227666312416e-11;3.43
gmres;cholesky;6.25e-08;16;9.921655276428922e-14;2.064522766631243e-11;6.47
gmres;cholesky;3.125e-08;1;1.0368233558942722e-13;2.106560393002599e-11;1.13
gmres;cholesky;3.125e-08;2;1.0368233558942728e-13;2.1065603930025994e-11;4.01
gmres;cholesky;3.125e-08;4;1.0368233558942727e-13;2.106560393002599e-11;4.52
gmres;cholesky;3.125e-08;8;1.036823355894273e-13;2.106560393002595e-11;5.48
gmres;cholesky;3.125e-08;16;1.0368233558942727e-13;2.1065603930025933e-11;11.10
gmres;cholesky;1.5625e-08;1;1.0356954414228952e-13;2.107741115502771e-11;1.32
gmres;cholesky;1.5625e-08;2;1.0356954414228948e-13;2.1077411155027662e-11;6.70
gmres;cholesky;1.5625e-08;4;1.035695441422894e-13;2.1077411155027597e-11;8.03
gmres;cholesky;1.5625e-08;8;1.0356954414228945e-13;2.107741115502765e-11;10.03
gmres;cholesky;1.5625e-08;16;1.0356954414228942e-13;2.1077411155027694e-11;20.41
gmres;cholesky;7.8125e-09;1;1.0368270508511416e-13;2.1070206872341912e-11;1.71
gmres;cholesky;7.8125e-09;2;1.0368270508511412e-13;2.1070206872341864e-11;12.43
gmres;cholesky;7.8125e-09;4;1.0368270508511417e-13;2.107020687234197e-11;15.45
gmres;cholesky;7.8125e-09;8;1.0368270508511417e-13;2.1070206872341838e-11;18.33
gmres;cholesky;7.8125e-09;16;1.0368270508511418e-13;2.1070206872341873e-11;39.00
gmres;cholesky;3.90625e-09;1;1.0340332306549418e-13;2.1055576316459558e-11;2.50
gmres;cholesky;3.90625e-09;2;1.0340332306549413e-13;2.105557631645936e-11;24.40
gmres;cholesky;3.90625e-09;4;1.0340332306549423e-13;2.1055576316459675e-11;29.16
gmres;cholesky;3.90625e-09;8;1.0340332306549408e-13;2.105557631645942e-11;35.85
gmres;cholesky;3.90625e-09;16;1.0340332306549427e-13;2.1055576316459384e-11;75.27
gmres;lu;5e-07;1;6.563694207355471e-14;1.6039226208946258e-11;0.96
gmres;lu;5e-07;2;6.563694207355468e-14;1.6039226208946233e-11;1.18
gmres;lu;5e-07;4;6.563694207355481e-14;1.6039226208946242e-11;1.27
gmres;lu;5e-07;8;6.563694207355485e-14;1.6039226208946236e-11;1.47
gmres;lu;5e-07;16;6.563694207355481e-14;1.6039226208946236e-11;2.49
gmres;lu;2.5e-07;1;1.0183145875793097e-13;2.105016185670982e-11;0.95
gmres;lu;2.5e-07;2;1.0183145875793095e-13;2.1050161856709826e-11;1.36
gmres;lu;2.5e-07;4;1.0183145875793112e-13;2.105016185670985e-11;1.50
gmres;lu;2.5e-07;8;1.0183145875793109e-13;2.1050161856709865e-11;1.70
gmres;lu;2.5e-07;16;1.0183145875793112e-13;2.105016185670987e-11;3.00
gmres;lu;1.25e-07;1;9.392439597102477e-14;2.0185164792714307e-11;0.98
gmres;lu;1.25e-07;2;9.392439597102481e-14;2.0185164792714323e-11;1.73
gmres;lu;1.25e-07;4;9.392439597102478e-14;2.0185164792714326e-11;1.97
gmres;lu;1.25e-07;8;9.392439597102481e-14;2.0185164792714304e-11;2.26
gmres;lu;1.25e-07;16;9.392439597102477e-14;2.018516479271434e-11;4.20
gmres;lu;6.25e-08;1;9.921655276428922e-14;2.0645227666312426e-11;1.02
gmres;lu;6.25e-08;2;9.921655276428923e-14;2.0645227666312387e-11;2.49
gmres;lu;6.25e-08;4;9.92165527642892e-14;2.064522766631241e-11;2.80
gmres;lu;6.25e-08;8;9.921655276428918e-14;2.0645227666312387e-11;3.37
gmres;lu;6.25e-08;16;9.921655276428917e-14;2.064522766631239e-11;6.46
gmres;lu;3.125e-08;1;1.0368233558942727e-13;2.1065603930025994e-11;1.12
gmres;lu;3.125e-08;2;1.0368233558942723e-13;2.1065603930025933e-11;3.89
gmres;lu;3.125e-08;4;1.0368233558942721e-13;2.1065603930025997e-11;4.60
gmres;lu;3.125e-08;8;1.036823355894273e-13;2.106560393002599e-11;5.49
gmres;lu;3.125e-08;16;1.0368233558942723e-13;2.1065603930026004e-11;11.03
gmres;lu;1.5625e-08;1;1.0356954414228957e-13;2.1077411155027675e-11;1.34
gmres;lu;1.5625e-08;2;1.0356954414228952e-13;2.107741115502759e-11;6.80
gmres;lu;1.5625e-08;4;1.0356954414228948e-13;2.107741115502755e-11;8.13
gmres;lu;1.5625e-08;8;1.0356954414228945e-13;2.107741115502764e-11;9.85
gmres;lu;1.5625e-08;16;1.0356954414228945e-13;2.1077411155027613e-11;20.70
gmres;lu;7.8125e-09;1;1.0368270508511412e-13;2.1070206872341857e-11;1.71
gmres;lu;7.8125e-09;2;1.0368270508511415e-13;2.1070206872341792e-11;12.65
gmres;lu;7.8125e-09;4;1.0368270508511417e-13;2.1070206872341912e-11;15.15
gmres;lu;7.8125e-09;8;1.0368270508511413e-13;2.1070206872341883e-11;18.71
gmres;lu;7.8125e-09;16;1.0368270508511413e-13;2.1070206872341725e-11;39.26
gmres;lu;3.90625e-09;1;1.034033230654942e-13;2.1055576316459536e-11;2.46
gmres;lu;3.90625e-09;2;1.0340332306549423e-13;2.1055576316459523e-11;24.46
gmres;lu;3.90625e-09;4;1.034033230654942e-13;2.1055576316459523e-11;29.44
gmres;lu;3.90625e-09;8;1.0340332306549416e-13;2.1055576316459435e-11;36.36
gmres;lu;3.90625e-09;16;1.0340332306549424e-13;2.1055576316459416e-11;76.21
gmres;bjacobi;5e-07;1;6.563694207355457e-14;1.6039226208946258e-11;0.97
gmres;bjacobi;5e-07;2;6.563449143599919e-14;1.6039333186920265e-11;1.04
gmres;bjacobi;5e-07;4;6.563531596984656e-14;1.603915505159943e-11;1.08
gmres;bjacobi;5e-07;8;6.56334413465616e-14;1.6039057695798448e-11;1.17
gmres;bjacobi;5e-07;16;6.563498597966113e-14;1.603915064720162e-11;1.87
gmres;bjacobi;2.5e-07;1;1.0183145875793103e-13;2.1050161856709843e-11;0.98
gmres;bjacobi;2.5e-07;2;1.0183062968018374e-13;2.1050189379900416e-11;1.06
gmres;bjacobi;2.5e-07;4;1.0183065107636958e-13;2.1050167254244437e-11;1.09
gmres;bjacobi;2.5e-07;8;1.0183078337121763e-13;2.105015104378916e-11;1.19
gmres;bjacobi;2.5e-07;16;1.0183046399683885e-13;2.105015896480252e-11;1.97
gmres;bjacobi;1.25e-07;1;9.392439597102478e-14;2.0185164792714326e-11;1.02
gmres;bjacobi;1.25e-07;2;9.392407247306203e-14;2.0185155516379774e-11;1.09
gmres;bjacobi;1.25e-07;4;9.392415690824655e-14;2.018516821083843e-11;1.12
gmres;bjacobi;1.25e-07;8;9.392425849352864e-14;2.0185165743521725e-11;1.23
gmres;bjacobi;1.25e-07;16;9.392423163562674e-14;2.0185142940188943e-11;1.97
gmres;bjacobi;6.25e-08;1;9.921655276428923e-14;2.0645227666312355e-11;1.05
gmres;bjacobi;6.25e-08;2;9.921643214772588e-14;2.064521085643411e-11;1.16
gmres;bjacobi;6.25e-08;4;9.921635650634165e-14;2.0645227497465217e-11;1.22
gmres;bjacobi;6.25e-08;8;9.921650269017343e-14;2.064522766396629e-11;1.34
gmres;bjacobi;6.25e-08;16;9.921647863359195e-14;2.0645220665742833e-11;2.20
gmres;bjacobi;3.125e-08;1;1.036823355894273e-13;2.1065603930025945e-11;1.16
gmres;bjacobi;3.125e-08;2;1.0368227555679777e-13;2.106559858195447e-11;1.29
gmres;bjacobi;3.125e-08;4;1.0368234903102274e-13;2.1065604154157098e-11;1.31
gmres;bjacobi;3.125e-08;8;1.0368231547866441e-13;2.1065603968676263e-11;1.49
gmres;bjacobi;3.125e-08;16;1.0368232353309531e-13;2.1065602924636527e-11;2.37
gmres;bjacobi;1.5625e-08;1;1.0356954414228953e-13;2.1077411155027536e-11;1.34
gmres;bjacobi;1.5625e-08;2;1.0356958020990563e-13;2.1077414347823092e-11;1.59
gmres;bjacobi;1.5625e-08;4;1.0356953283709074e-13;2.1077411069929495e-11;1.60
gmres;bjacobi;1.5625e-08;8;1.0356957958128968e-13;2.107741095932165e-11;1.86
gmres;bjacobi;1.5625e-08;16;1.035695719583917e-13;2.107741388778601e-11;3.15
gmres;bjacobi;7.8125e-09;1;1.036827050851141e-13;2.1070206872341883e-11;1.75
gmres;bjacobi;7.8125e-09;2;1.0368272562993265e-13;2.1070207008785228e-11;2.06
gmres;bjacobi;7.8125e-09;4;1.0368272784637284e-13;2.1070207417194524e-11;2.12
gmres;bjacobi;7.8125e-09;8;1.0368271117871177e-13;2.1070206859736264e-11;2.45
gmres;bjacobi;7.8125e-09;16;1.0368268447328295e-13;2.1070204493515547e-11;4.23
gmres;bjacobi;3.90625e-09;1;1.0340332306549409e-13;2.1055576316459442e-11;2.53
gmres;bjacobi;3.90625e-09;2;1.0340331149834544e-13;2.1055576186386328e-11;3.10
gmres;bjacobi;3.90625e-09;4;1.0340329237664181e-13;2.1055576348870698e-11;3.22
gmres;bjacobi;3.90625e-09;8;1.034033530697756e-13;2.105557634609701e-11;3.51
gmres;bjacobi;3.90625e-09;16;1.034033108705851e-13;2.105557487631809e-11;6.45
gmres;asm;5e-07;1;6.563694207355457e-14;1.6039226208946258e-11;0.97
gmres;asm;5e-07;2;6.56358622471567e-14;1.60392832012319e-11;1.02
gmres;asm;5e-07;4;6.563693622979165e-14;1.603923054367605e-11;1.07
gmres;asm;5e-07;8;6.563560552943259e-14;1.603915749259382e-11;1.21
gmres;asm;5e-07;16;6.563642616380977e-14;1.603919175970249e-11;1.94
gmres;asm;2.5e-07;1;1.0183145875793103e-13;2.1050161856709843e-11;0.99
gmres;asm;2.5e-07;2;1.0183070869769617e-13;2.1050176569764383e-11;1.08
gmres;asm;2.5e-07;4;1.0183127249624387e-13;2.1050164171701863e-11;1.10
gmres;asm;2.5e-07;8;1.0183123991412568e-13;2.105015813371125e-11;1.21
gmres;asm;2.5e-07;16;1.0182876013641195e-13;2.105012923231254e-11;2.01
gmres;asm;1.25e-07;1;9.392439597102478e-14;2.0185164792714326e-11;1.00
gmres;asm;1.25e-07;2;9.392428618930832e-14;2.018515472820542e-11;1.08
gmres;asm;1.25e-07;4;9.392417844691747e-14;2.0185164088116992e-11;1.11
gmres;asm;1.25e-07;8;9.392431250185745e-14;2.0185164845975662e-11;1.24
gmres;asm;1.25e-07;16;9.392419402965754e-14;2.0185139916116476e-11;2.04
gmres;asm;6.25e-08;1;9.921655276428923e-14;2.0645227666312355e-11;1.04
gmres;asm;6.25e-08;2;9.921648480867664e-14;2.0645213866605023e-11;1.15
gmres;asm;6.25e-08;4;9.921639898949825e-14;2.064522665210375e-11;1.20
gmres;asm;6.25e-08;8;9.921618005936282e-14;2.0645258366484762e-11;1.32
gmres;asm;6.25e-08;16;9.921647085228451e-14;2.064522554821488e-11;2.19
gmres;asm;3.125e-08;1;1.036823355894273e-13;2.1065603930025945e-11;1.18
gmres;asm;3.125e-08;2;1.0368236893661331e-13;2.1065602907613247e-11;1.30
gmres;asm;3.125e-08;4;1.0368231124904425e-13;2.1065595235928853e-11;1.34
gmres;asm;3.125e-08;8;1.0368219111535543e-13;2.1065588310703983e-11;1.49
gmres;asm;3.125e-08;16;1.036821700786058e-13;2.1065578539185864e-11;2.51
gmres;asm;1.5625e-08;1;1.0356954414228953e-13;2.1077411155027536e-11;1.39
gmres;asm;1.5625e-08;2;1.0356954464507099e-13;2.1077398824051456e-11;1.58
gmres;asm;1.5625e-08;4;1.0356949928454348e-13;2.1077407281544782e-11;1.70
gmres;asm;1.5625e-08;8;1.0356953199979299e-13;2.1077408686447298e-11;1.83
gmres;asm;1.5625e-08;16;1.035695632933358e-13;2.107741366474583e-11;3.12
gmres;asm;7.8125e-09;1;1.036827050851141e-13;2.1070206872341883e-11;1.79
gmres;asm;7.8125e-09;2;1.0368263327462798e-13;2.1070205973636986e-11;2.15
gmres;asm;7.8125e-09;4;1.0368268206568287e-13;2.107020520860729e-11;2.20
gmres;asm;7.8125e-09;8;1.0368268707402153e-13;2.107020582277822e-11;2.46
