solver;pc;dt;np;L2;H1;time
preonly;cholesky;5e-07;1;2.5875729878845857e-15;1.7345024703669078e-12;1.90
preonly;cholesky;5e-07;2;2.5875729878845833e-15;1.7345024703669096e-12;1.55
preonly;cholesky;5e-07;4;2.5875729878845817e-15;1.7345024703669082e-12;1.57
preonly;cholesky;5e-07;8;2.587572987884584e-15;1.7345024703669082e-12;1.59
preonly;cholesky;5e-07;16;2.5875729878845833e-15;1.7345024703669088e-12;2.56
preonly;cholesky;2.5e-07;1;3.256006512076171e-15;2.0017989094520398e-12;2.09
preonly;cholesky;2.5e-07;2;3.256006512076173e-15;2.001798909452039e-12;1.81
preonly;cholesky;2.5e-07;4;3.2560065120761696e-15;2.0017989094520386e-12;1.84
preonly;cholesky;2.5e-07;8;3.2560065120761703e-15;2.001798909452039e-12;1.82
preonly;cholesky;2.5e-07;16;3.2560065120761703e-15;2.001798909452039e-12;2.88
preonly;cholesky;1.25e-07;1;2.9841518572020775e-15;1.949130986968329e-12;2.48
preonly;cholesky;1.25e-07;2;2.9841518572020763e-15;1.949130986968329e-12;2.31
preonly;cholesky;1.25e-07;4;2.9841518572020802e-15;1.949130986968329e-12;2.36
preonly;cholesky;1.25e-07;8;2.984151857202079e-15;1.949130986968329e-12;2.16
preonly;cholesky;1.25e-07;16;2.9841518572020786e-15;1.949130986968329e-12;3.47
preonly;cholesky;6.25e-08;1;2.905123178973388e-15;1.905975090352164e-12;3.23
preonly;cholesky;6.25e-08;2;2.905123178973385e-15;1.905975090352168e-12;3.30
preonly;cholesky;6.25e-08;4;2.9051231789733847e-15;1.9059750903521667e-12;3.45
preonly;cholesky;6.25e-08;8;2.9051231789733847e-15;1.905975090352166e-12;2.97
preonly;cholesky;6.25e-08;16;2.9051231789733847e-15;1.9059750903521667e-12;4.76
preonly;cholesky;3.125e-08;1;2.969239852242455e-15;1.9504646635251482e-12;4.84
preonly;cholesky;3.125e-08;2;2.969239852242453e-15;1.9504646635251506e-12;5.35
preonly;cholesky;3.125e-08;4;2.969239852242453e-15;1.9504646635251494e-12;5.60
preonly;cholesky;3.125e-08;8;2.969239852242451e-15;1.950464663525149e-12;4.38
preonly;cholesky;3.125e-08;16;2.969239852242451e-15;1.9504646635251494e-12;6.88
preonly;cholesky;1.5625e-08;1;2.9936588897930175e-15;1.9888111892008907e-12;7.83
preonly;cholesky;1.5625e-08;2;2.9936588897930144e-15;1.988811189200888e-12;9.31
preonly;cholesky;1.5625e-08;4;2.9936588897930167e-15;1.988811189200889e-12;9.74
preonly;cholesky;1.5625e-08;8;2.993658889793017e-15;1.988811189200889e-12;7.34
preonly;cholesky;1.5625e-08;16;2.993658889793015e-15;1.9888111892008887e-12;11.34
preonly;lu;5e-07;1;2.5875729878845845e-15;1.7345024703669064e-12;1.55
preonly;lu;5e-07;2;2.5875729878845825e-15;1.7345024703669096e-12;1.56
preonly;lu;5e-07;4;2.5875729878845825e-15;1.7345024703669088e-12;1.51
preonly;lu;5e-07;8;2.587572987884585e-15;1.734502470366909e-12;1.58
