solver;pc;N;np;L2;H1;time
preonly;cholesky;40;1;2.988245526216023e-15;1.9461595133909515e-12;13.73
preonly;cholesky;40;2;2.98824552621603e-15;1.946159513390947e-12;18.07
preonly;lu;40;1;2.9882455262160236e-15;1.9461595133909535e-12;12.97
preonly;lu;40;2;2.988245526216031e-15;1.946159513390949e-12;22.17
preonly;bjacobi;40;1;1.5191772107429706e-15;1.6071080547096492e-12;8.13
preonly;bjacobi;40;2;1.5012366143927324e-15;1.5993584533321691e-12;9.70
preonly;asm;40;1;1.5191772107429706e-15;1.6071080547096492e-12;7.97
preonly;asm;40;2;1.5244263157326842e-15;1.6076836899100285e-12;11.61
gmres;cholesky;40;1;2.988245526216027e-15;1.9461595133909547e-12;18.00
gmres;cholesky;40;2;2.9882455262160295e-15;1.9461595133909466e-12;29.53
gmres;lu;40;1;2.988245526216028e-15;1.9461595133909527e-12;20.25
gmres;lu;40;2;2.988245526216032e-15;1.946159513390949e-12;29.46
gcr;cholesky;40;1;2.9882455262160244e-15;1.9461595133909494e-12;14.31
gcr;cholesky;40;2;2.9882455262160303e-15;1.946159513390949e-12;19.60
gcr;lu;40;1;2.9882455262160236e-15;1.9461595133909502e-12;14.17
gcr;lu;40;2;2.988245526216031e-15;1.946159513390949e-12;21.23
