solver;pc;N;np;L2;H1;time
preonly;cholesky;6400;4;1.031785528090926e-13;2.1064444335231987e-11;12.50
preonly;cholesky;6400;8;1.0317855280909234e-13;2.1064444335231958e-11;12.80
preonly;cholesky;6400;16;1.0317855280909269e-13;2.106444433523196e-11;22.10
preonly;cholesky;12800;1;1.0317855109794583e-13;2.106612997897972e-11;2.22
preonly;cholesky;12800;2;1.0317855109794556e-13;2.106612997897893e-11;17.31
preonly;cholesky;12800;4;1.0317855109794507e-13;2.1066129978978985e-11;15.61
preonly;cholesky;12800;8;1.0317855109794555e-13;2.1066129978978972e-11;12.88
preonly;cholesky;12800;16;1.0317855109794536e-13;2.106612997897902e-11;38.70
preonly;cholesky;25600;1;1.0317855066706594e-13;2.1066206501187546e-11;3.47
preonly;cholesky;25600;2;1.0317855066707389e-13;2.1066206501184137e-11;41.14
preonly;cholesky;25600;4;1.0317855066707149e-13;2.1066206501183843e-11;44.59
preonly;cholesky;25600;8;1.0317855066707357e-13;2.1066206501183798e-11;27.67
preonly;cholesky;51200;1;1.0317855055913786e-13;2.1065066834197627e-11;6.23
preonly;cholesky;51200;2;1.0317855055915942e-13;2.1065066834189194e-11;70.24
preonly;cholesky;51200;4;1.0317855055916011e-13;2.1065066834190018e-11;69.06
preonly;cholesky;51200;8;1.0317855055915711e-13;2.1065066834189902e-11;78.21
preonly;lu;100;1;1.031820833559895e-13;2.1013640697191064e-11;1.02
preonly;lu;100;2;1.0318208335598954e-13;2.1013640697191126e-11;1.54
preonly;lu;100;4;1.0318208335598954e-13;2.1013640697191135e-11;1.73
preonly;lu;100;8;1.0318208335598954e-13;2.1013640697191123e-11;2.08
preonly;lu;100;16;1.0318208335598956e-13;2.1013640697191077e-11;3.82
preonly;lu;200;1;1.0317943928545275e-13;2.1103826845690345e-11;1.03
preonly;lu;200;2;1.0317943928545274e-13;2.1103826845690348e-11;1.72
preonly;lu;200;4;1.0317943928545277e-13;2.110382684569035e-11;1.94
preonly;lu;200;8;1.0317943928545277e-13;2.1103826845690403e-11;2.27
preonly;lu;200;16;1.0317943928545278e-13;2.1103826845690364e-11;4.03
preonly;lu;400;1;1.0317873426372778e-13;2.102774170670996e-11;1.05
preonly;lu;400;2;1.0317873426372777e-13;2.1027741706709995e-11;2.08
preonly;lu;400;4;1.0317873426372776e-13;2.1027741706709988e-11;2.24
preonly;lu;400;8;1.0317873426372776e-13;2.1027741706709995e-11;2.57
preonly;lu;400;16;1.0317873426372777e-13;2.102774170670999e-11;4.72
preonly;lu;800;1;1.03178566272636e-13;2.1036481370169677e-11;1.09
preonly;lu;800;2;1.0317856627263601e-13;2.1036481370169635e-11;2.76
preonly;lu;800;4;1.0317856627263602e-13;2.103648137016963e-11;2.94
preonly;lu;800;8;1.0317856627263602e-13;2.1036481370169635e-11;3.25
preonly;lu;800;16;1.0317856627263602e-13;2.1036481370169628e-11;5.97
preonly;lu;1600;1;1.0317858115077297e-13;2.108007960559838e-11;1.15
preonly;lu;1600;2;1.031785811507729e-13;2.1080079605598417e-11;4.18
preonly;lu;1600;4;1.0317858115077283e-13;2.1080079605598424e-11;4.33
preonly;lu;1600;8;1.0317858115077286e-13;2.1080079605598436e-11;4.78
preonly;lu;1600;16;1.0317858115077283e-13;2.1080079605598424e-11;8.42
preonly;lu;3200;1;1.031785594385265e-13;2.1066864783143624e-11;1.31
preonly;lu;3200;2;1.0317855943852639e-13;2.1066864783143672e-11;7.02
preonly;lu;3200;4;1.0317855943852652e-13;2.106686478314367e-11;6.93
preonly;lu;3200;8;1.0317855943852646e-13;2.106686478314371e-11;7.47
preonly;lu;3200;16;1.0317855943852668e-13;2.1066864783143705e-11;13.17
preonly;lu;6400;1;1.0317855280909267e-13;2.1064444335232023e-11;1.61
preonly;lu;6400;2;1.0317855280909259e-13;2.1064444335232016e-11;10.77
preonly;lu;6400;4;1.0317855280909176e-13;2.1064444335232016e-11;9.86
preonly;lu;6400;8;1.0317855280909292e-13;2.1064444335232e-11;10.67
preonly;lu;6400;16;1.0317855280909268e-13;2.1064444335232e-11;12.15
preonly;lu;12800;1;1.0317855109794494e-13;2.1066129978979454e-11;2.22
preonly;lu;12800;2;1.0317855109794453e-13;2.106612997897898e-11;17.55
preonly;lu;12800;4;1.031785510979452e-13;2.106612997897902e-11;17.76
preonly;lu;12800;8;1.0317855109794514e-13;2.106612997897906e-11;13.13
preonly;lu;12800;16;1.031785510979449e-13;2.1066129978979072e-11;32.12
preonly;lu;25600;1;1.0317855066706644e-13;2.1066206501187465e-11;3.51
preonly;lu;25600;2;1.0317855066707204e-13;2.1066206501183914e-11;40.77
preonly;lu;25600;4;1.0317855066707225e-13;2.106620650118399e-11;41.00
preonly;lu;25600;8;1.0317855066707324e-13;2.1066206501183753e-11;35.52
preonly;lu;51200;1;1.0317855055913218e-13;2.106506683420262e-11;6.10
preonly;lu;51200;2;1.0317855055916033e-13;2.106506683418845e-11;72.50
preonly;lu;51200;4;1.0317855055916073e-13;2.106506683418739e-11;69.50
preonly;lu;51200;8;1.0317855055915746e-13;2.106506683418806e-11;82.13
preonly;bjacobi;100;1;1.0318208335598949e-13;2.101364069719112e-11;1.06
preonly;bjacobi;100;2;1.0327030177787298e-13;2.1018416900166463e-11;1.11
preonly;bjacobi;100;4;1.0315846674019174e-13;2.1086222503859168e-11;1.16
preonly;bjacobi;100;8;1.029111931282153e-13;2.1041401640584658e-11;1.25
preonly;bjacobi;100;16;1.0252615286847482e-13;2.10447037162458e-11;2.08
preonly;bjacobi;200;1;1.0317943928545269e-13;2.1103826845690367e-11;1.05
preonly;bjacobi;200;2;1.0315040352758753e-13;2.107734095862062e-11;1.12
preonly;bjacobi;200;4;1.0318419025320447e-13;2.1069371450003857e-11;1.18
preonly;bjacobi;200;8;1.0325625076448576e-13;2.1105759141198183e-11;1.30
preonly;bjacobi;200;16;1.0335957427633496e-13;2.104374826296009e-11;2.09
preonly;bjacobi;400;1;1.0317873426372776e-13;2.102774170670995e-11;1.06
preonly;bjacobi;400;2;6.074533880402349e+27;3.1363577473797252e+32;1.14
preonly;bjacobi;400;4;9.310544917902936e+41;4.807150681931454e+46;1.15
preonly;bjacobi;400;8;6.620326732870811e+48;3.4181574171167976e+53;1.25
preonly;bjacobi;400;16;1.98464474601162e+51;1.0246968816869595e+56;2.06
preonly;bjacobi;800;1;1.0317856627263606e-13;2.1036481370169557e-11;1.11
preonly;bjacobi;800;2;8.470792097473028e+83;6.060708778588766e+88;1.14
preonly;bjacobi;800;4;4.414431262809728e+109;3.1584510632682076e+114;1.16
preonly;bjacobi;800;8;2.7174395531227193e+122;1.9442821362371947e+127;1.28
preonly;bjacobi;800;16;2.863766738956767e+129;2.0489767680407955e+134;2.06
preonly;bjacobi;1600;1;1.0317858115077291e-13;2.1080079605598488e-11;1.17
preonly;bjacobi;1600;2;8.644020753881018e+110;8.560844530414299e+115;1.21
preonly;bjacobi;1600;4;1.7243191087639772e+140;1.7077270209379413e+145;1.19
preonly;bjacobi;1600;8;inf;inf;1.28
preonly;bjacobi;1600;16;inf;inf;2.07
preonly;bjacobi;3200;1;1.0317855943852661e-13;2.106686478314362e-11;1.32
preonly;bjacobi;3200;2;1.215939215111894e+125;1.6809315880191994e+130;1.26
preonly;bjacobi;3200;4;inf;inf;1.24
preonly;bjacobi;3200;8;inf;inf;1.31
preonly;bjacobi;3200;16;inf;inf;2.09
preonly;bjacobi;6400;1;1.0317855280909204e-13;2.106444433523238e-11;1.63
preonly;bjacobi;6400;2;1.273637535920756e+132;2.4724687380621653e+137;1.42
preonly;bjacobi;6400;4;inf;inf;1.34
preonly;bjacobi;6400;8;inf;inf;1.38
preonly;bjacobi;6400;16;inf;inf;2.19
preonly;bjacobi;12800;1;1.0317855109794312e-13;2.1066129978980733e-11;2.24
preonly;bjacobi;12800;2;3.3907552287330473e+135;9.274875647588383e+140;1.75
preonly;bjacobi;12800;4;inf;inf;1.51
preonly;bjacobi;12800;8;inf;inf;1.46
preonly;bjacobi;12800;16;inf;inf;2.34
preonly;bjacobi;25600;1;1.031785506670699e-13;2.1066206501185475e-11;3.51
preonly;bjacobi;25600;2;4.25085850924999e+136;1.6413303128740879e+142;2.55
preonly;bjacobi;25600;4;inf;inf;2.00
preonly;bjacobi;25600;8;inf;inf;1.70
preonly;bjacobi;25600;16;inf;inf;2.56
preonly;bjacobi;51200;1;1.0317855055913972e-13;2.106506683420079e-11;6.35
preonly;bjacobi;51200;2;2.30692072573365e+137;1.25851996799157e+143;4.29
preonly;bjacobi;51200;4;inf;inf;3.01
preonly;bjacobi;51200;8;inf;inf;2.47
preonly;bjacobi;51200;16;inf;inf;3.26
preonly;asm;100;1;1.0318208335598949e-13;2.101364069719112e-11;1.07
preonly;asm;100;2;1.0316943594876792e-13;2.1005235757739675e-11;1.12
preonly;asm;100;4;1.0318554091955301e-13;2.100201242221987e-11;1.17
preonly;asm;100;8;1.0321968657148111e-13;2.0996777952387393e-11;1.31
preonly;asm;100;16;1.032737960878497e-13;2.1016778713763746e-11;2.09
preonly;asm;200;1;1.0317943928545269e-13;2.1103826845690367e-11;1.05
preonly;asm;200;2;1.0317777569932056e-13;2.1103007505302355e-11;1.13
preonly;asm;200;4;1.031797736249772e-13;2.1103556311248753e-11;1.16
preonly;asm;200;8;1.0318492050739119e-13;2.1105531618059703e-11;1.29
preonly;asm;200;16;1.0319037922750615e-13;2.110905400332421e-11;2.12
preonly;asm;400;1;1.0317873426372776e-13;2.102774170670995e-11;1.11
preonly;asm;400;2;1.0314254165219684e-13;2.099407681673463e-11;1.19
preonly;asm;400;4;1.0318579912263387e-13;2.1016413350342764e-11;1.16
preonly;asm;400;8;1.0327626141897295e-13;2.1087761434850876e-11;1.31
preonly;asm;400;16;1.0340533221600821e-13;2.159705710672092e-11;2.09
preonly;asm;800;1;1.0317856627263606e-13;2.1036481370169557e-11;1.13
preonly;asm;800;2;7.394985785809872;784598.0565292026;1.16
preonly;asm;800;4;2425015963.0424194;119279309327669.62;1.20
preonly;asm;800;8;6.250061919749859e+52;3.706341960374694e+57;1.30
preonly;asm;800;16;2.9819114529633006e+44;1.7682998476088712e+49;2.19
preonly;asm;1600;1;1.0317858115077291e-13;2.1080079605598488e-11;1.22
preonly;asm;1600;2;7.119682632166105e+54;8.3587087619366e+59;1.22
preonly;asm;1600;4;4.1182813590794186e+73;4.834978784691084e+78;1.22
preonly;asm;1600;8;3.1200003994354595e+97;2.5187847898638545e+102;1.31
preonly;asm;1600;16;2.2926449424624782e+89;2.691630000752075e+94;2.13
preonly;asm;3200;1;1.0317855943852661e-13;2.106686478314362e-11;1.38
preonly;asm;3200;2;2.503747029545512e+97;3.673114660510161e+102;1.32
preonly;asm;3200;4;2.9306381596694667e+140;3.3606345090855186e+145;1.28
preonly;asm;3200;8;3.480629825795868e+137;5.106247672019044e+142;1.40
preonly;asm;3200;16;inf;inf;2.21
preonly;asm;6400;1;1.0317855280909204e-13;2.106444433523238e-11;1.70
preonly;asm;6400;2;1.6404661005487215e+118;3.2679314706698265e+123;1.53
preonly;asm;6400;4;9.814233425166062e+146;inf;1.35
preonly;asm;6400;8;inf;inf;1.45
preonly;asm;6400;16;inf;inf;2.24
preonly;asm;12800;1;1.0317855109794312e-13;2.1066129978980733e-11;2.38
preonly;asm;12800;2;3.9874509285283055e+128;1.1039710823644071e+134;1.84
preonly;asm;12800;4;inf;inf;1.55
preonly;asm;12800;8;inf;inf;1.59
preonly;asm;12800;16;inf;inf;2.42
preonly;asm;25600;1;1.031785506670699e-13;2.1066206501185475e-11;3.75
preonly;asm;25600;2;6.161947157655918e+132;2.3931977859234203e+138;2.65
preonly;asm;25600;4;inf;inf;1.98
preonly;asm;25600;8;inf;inf;1.80
preonly;asm;25600;16;inf;inf;2.56
preonly;asm;51200;1;1.0317855055913972e-13;2.106506683420079e-11;6.74
preonly;asm;51200;2;3.793945711618683e+136;2.075720293657436e+142;4.41
preonly;asm;51200;4;inf;inf;3.16
preonly;asm;51200;8;inf;inf;2.57
preonly;asm;51200;16;inf;inf;3.25
gmres;cholesky;100;1;1.031820833559895e-13;2.1013640697191087e-11;1.07
gmres;cholesky;100;2;1.0318208335598956e-13;2.1013640697191123e-11;2.03
gmres;cholesky;100;4;1.0318208335598953e-13;2.1013640697191123e-11;2.35
gmres;cholesky;100;8;1.0318208335598958e-13;2.1013640697191155e-11;2.96
gmres;cholesky;100;16;1.0318208335598954e-13;2.101364069719113e-11;5.78
gmres;cholesky;200;1;1.0317943928545278e-13;2.110382684569032e-11;1.07
gmres;cholesky;200;2;1.031794392854527e-13;2.110382684569031e-11;2.37
gmres;cholesky;200;4;1.0317943928545275e-13;2.1103826845690354e-11;2.66
gmres;cholesky;200;8;1.0317943928545278e-13;2.110382684569035e-11;3.34
gmres;cholesky;200;16;1.0317943928545275e-13;2.110382684569033e-11;6.51
gmres;cholesky;400;1;1.0317873426372777e-13;2.102774170671001e-11;1.09
gmres;cholesky;400;2;1.0317873426372777e-13;2.102774170671001e-11;3.03
gmres;cholesky;400;4;1.0317873426372776e-13;2.102774170671007e-11;3.37
gmres;cholesky;400;8;1.0317873426372781e-13;2.1027741706709995e-11;4.00
gmres;cholesky;400;16;1.0317873426372778e-13;2.1027741706710037e-11;7.64
gmres;cholesky;800;1;1.0317856627263604e-13;2.1036481370169557e-11;1.15
gmres;cholesky;800;2;1.0317856627263593e-13;2.1036481370169645e-11;4.60
gmres;cholesky;800;4;1.0317856627263606e-13;2.1036481370169593e-11;4.75
gmres;cholesky;800;8;1.0317856627263596e-13;2.1036481370169645e-11;5.45
gmres;cholesky;800;16;1.0317856627263601e-13;2.103648137016964e-11;9.91
gmres;cholesky;1600;1;1.0317858115077284e-13;2.108007960559846e-11;1.20
gmres;cholesky;1600;2;1.0317858115077293e-13;2.1080079605598407e-11;7.18
gmres;cholesky;1600;4;1.0317858115077294e-13;2.1080079605598443e-11;7.26
gmres;cholesky;1600;8;1.0317858115077292e-13;2.1080079605598466e-11;7.97
gmres;cholesky;1600;16;1.0317858115077297e-13;2.108007960559847e-11;14.68
gmres;cholesky;3200;1;1.0317855943852635e-13;2.1066864783143624e-11;1.38
gmres;cholesky;3200;2;1.0317855943852555e-13;2.106686478314354e-11;12.38
gmres;cholesky;3200;4;1.0317855943852588e-13;2.1066864783143527e-11;12.79
gmres;cholesky;3200;8;1.0317855943852606e-13;2.106686478314357e-11;13.32
gmres;cholesky;3200;16;1.0317855943852612e-13;2.106686478314357e-11;23.85
gmres;cholesky;6400;1;1.0317855280909276e-13;2.1064444335232052e-11;1.74
gmres;cholesky;6400;2;1.0317855280909235e-13;2.106444433523201e-11;23.25
gmres;cholesky;6400;4;1.0317855280909249e-13;2.1064444335231987e-11;23.24
gmres;cholesky;6400;8;1.0317855280909258e-13;2.106444433523195e-11;24.11
gmres;cholesky;6400;16;1.0317855280909215e-13;2.1064444335231906e-11;42.48
gmres;cholesky;12800;1;1.0317855109794694e-13;2.1066129978979938e-11;2.47
gmres;cholesky;12800;2;1.0317855109794738e-13;2.106612997897877e-11;33.32
gmres;cholesky;12800;4;1.0317855109794607e-13;2.1066129978978746e-11;29.35
gmres;cholesky;12800;8;1.0317855109794682e-13;2.106612997897885e-11;24.27
gmres;cholesky;12800;16;1.0317855109794668e-13;2.106612997897888e-11;48.40
gmres;cholesky;25600;1;1.0317855066704218e-13;2.1066206501177872e-11;3.94
gmres;cholesky;25600;2;1.0317855066708106e-13;2.1066206501209046e-11;82.70
gmres;cholesky;25600;4;1.0317855066707959e-13;2.1066206501208733e-11;85.51
gmres;cholesky;25600;8;1.0317855066708272e-13;2.1066206501208823e-11;52.71
gmres;cholesky;51200;1;1.03178550559154e-13;2.1065066834181378e-11;7.36
gmres;cholesky;51200;2;1.0317855055900345e-13;2.1065066834132316e-11;140.00
gmres;cholesky;51200;4;1.0317855055900492e-13;2.106506683413298e-11;139.42
gmres;cholesky;51200;8;1.0317855055900606e-13;2.1065066834134112e-11;157.29
gmres;lu;100;1;1.0318208335598954e-13;2.1013640697191068e-11;1.04
gmres;lu;100;2;1.031820833559896e-13;2.1013640697191116e-11;1.96
gmres;lu;100;4;1.0318208335598953e-13;2.10136406971911e-11;2.31
gmres;lu;100;8;1.0318208335598952e-13;2.1013640697191103e-11;2.86
gmres;lu;100;16;1.0318208335598958e-13;2.1013640697191123e-11;5.50
gmres;lu;200;1;1.0317943928545272e-13;2.1103826845690286e-11;1.06
gmres;lu;200;2;1.0317943928545273e-13;2.1103826845690306e-11;2.31
gmres;lu;200;4;1.0317943928545275e-13;2.1103826845690345e-11;2.62
gmres;lu;200;8;1.031794392854528e-13;2.1103826845690354e-11;3.20
gmres;lu;200;16;1.0317943928545277e-13;2.110382684569033e-11;6.27
gmres;lu;400;1;1.0317873426372778e-13;2.1027741706710008e-11;1.07
gmres;lu;400;2;1.0317873426372773e-13;2.1027741706709975e-11;2.94
gmres;lu;400;4;1.0317873426372778e-13;2.1027741706709985e-11;3.31
gmres;lu;400;8;1.0317873426372776e-13;2.1027741706710027e-11;3.91
gmres;lu;400;16;1.0317873426372776e-13;2.1027741706709953e-11;7.42
gmres;lu;800;1;1.0317856627263601e-13;2.1036481370169615e-11;1.12
gmres;lu;800;2;1.0317856627263595e-13;2.103648137016962e-11;4.27
gmres;lu;800;4;1.0317856627263595e-13;2.1036481370169664e-11;4.64
gmres;lu;800;8;1.0317856627263597e-13;2.103648137016965e-11;5.32
gmres;lu;800;16;1.0317856627263597e-13;2.1036481370169667e-11;9.87
gmres;lu;1600;1;1.031785811507728e-13;2.108007960559845e-11;1.19
gmres;lu;1600;2;1.031785811507729e-13;2.1080079605598475e-11;7.13
gmres;lu;1600;4;1.0317858115077284e-13;2.108007960559842e-11;7.45
gmres;lu;1600;8;1.0317858115077296e-13;2.108007960559843e-11;8.01
gmres;lu;1600;16;1.0317858115077292e-13;2.1080079605598475e-11;14.42
gmres;lu;3200;1;1.0317855943852662e-13;2.1066864783143575e-11;1.36
gmres;lu;3200;2;1.0317855943852588e-13;2.1066864783143537e-11;12.34
gmres;lu;3200;4;1.0317855943852601e-13;2.1066864783143553e-11;12.69
gmres;lu;3200;8;1.0317855943852607e-13;2.1066864783143533e-11;13.01
gmres;lu;3200;16;1.0317855943852602e-13;2.1066864783143543e-11;23.56
gmres;lu;6400;1;1.0317855280909234e-13;2.1064444335231987e-11;1.73
gmres;lu;6400;2;1.0317855280909245e-13;2.1064444335231958e-11;20.15
gmres;lu;6400;4;1.0317855280909234e-13;2.106444433523196e-11;17.78
gmres;lu;6400;8;1.0317855280909254e-13;2.1064444335232e-11;20.72
gmres;lu;6400;16;1.0317855280909211e-13;2.1064444335231968e-11;21.91
gmres;lu;12800;1;1.0317855109794642e-13;2.1066129978979518e-11;2.38
gmres;lu;12800;2;1.03178551097947e-13;2.106612997897858e-11;32.56
gmres;lu;12800;4;1.0317855109794665e-13;2.1066129978978517e-11;36.32
gmres;lu;12800;8;1.0317855109794584e-13;2.106612997897844e-11;23.94
gmres;lu;12800;16;1.0317855109794608e-13;2.1066129978978597e-11;31.20
gmres;lu;25600;1;1.0317855066704126e-13;2.106620650117705e-11;3.85
gmres;lu;25600;2;1.0317855066708291e-13;2.106620650121028e-11;79.50
gmres;lu;25600;4;1.0317855066708229e-13;2.106620650121021e-11;80.18
gmres;lu;25600;8;1.0317855066708215e-13;2.1066206501210187e-11;69.18
gmres;lu;51200;1;1.0317855055911696e-13;2.1065066834173122e-11;7.15
gmres;lu;51200;2;1.0317855055901985e-13;2.1065066834144025e-11;136.45
gmres;lu;51200;4;1.0317855055902116e-13;2.1065066834142336e-11;140.22
gmres;lu;51200;8;1.0317855055901616e-13;2.1065066834143835e-11;148.94
gmres;bjacobi;100;1;1.0318208335598949e-13;2.1013640697191165e-11;1.02
gmres;bjacobi;100;2;1.0318220520231611e-13;2.1013640902436414e-11;1.13
gmres;bjacobi;100;4;1.0318216140670839e-13;2.101364029086449e-11;1.16
gmres;bjacobi;100;8;1.0318214132801232e-13;2.101364068687887e-11;1.36
gmres;bjacobi;100;16;1.0318211745465972e-13;2.1013645992461966e-11;2.14
gmres;bjacobi;200;1;1.0317943928545273e-13;2.1103826845690364e-11;1.03
gmres;bjacobi;200;2;1.0317932370544661e-13;2.110381039166567e-11;1.13
gmres;bjacobi;200;4;1.031793414256376e-13;2.1103823788631763e-11;1.20
gmres;bjacobi;200;8;1.0317933953248333e-13;2.110382619654154e-11;1.31
gmres;bjacobi;200;16;1.0317939180421079e-13;2.1103824540089965e-11;2.14
gmres;bjacobi;400;1;1.0317873426372776e-13;2.1027741706710014e-11;1.06
gmres;bjacobi;400;2;1.0317852265938858e-13;2.102771866267242e-11;1.15
gmres;bjacobi;400;4;1.0317853279209355e-13;2.1027740007620073e-11;1.18
gmres;bjacobi;400;8;1.0317863556580264e-13;2.102774168975106e-11;1.32
gmres;bjacobi;400;16;1.0317864423872524e-13;2.1027730360179318e-11;2.16
gmres;bjacobi;800;1;1.0317856627263596e-13;2.103648137016965e-11;1.12
gmres;bjacobi;800;2;1.0317805180451649e-13;2.1036419784273148e-11;1.19
gmres;bjacobi;800;4;1.0317832393256137e-13;2.1036483816155036e-11;1.21
gmres;bjacobi;800;8;1.0317839746208043e-13;2.1036480697007374e-11;1.32
gmres;bjacobi;800;16;1.0317851801336325e-13;2.103647572205793e-11;2.19
gmres;bjacobi;1600;1;1.0317858115077291e-13;2.1080079605598417e-11;1.19
gmres;bjacobi;1600;2;1.0317799458701892e-13;2.1080009769609093e-11;1.24
gmres;bjacobi;1600;4;1.0317806628088131e-13;2.10800793738628e-11;1.24
gmres;bjacobi;1600;8;1.0317842437026001e-13;2.1080079557710508e-11;1.38
gmres;bjacobi;1600;16;1.0317849295034908e-13;2.1080068360917772e-11;2.19
gmres;bjacobi;3200;1;1.0317855943852607e-13;2.1066864783143627e-11;1.38
gmres;bjacobi;3200;2;1.0317735881272573e-13;2.106671277658363e-11;1.35
gmres;bjacobi;3200;4;1.0317763013574993e-13;2.1066868017785543e-11;1.34
gmres;bjacobi;3200;8;1.0317836820234859e-13;2.1066865270531162e-11;1.39
gmres;bjacobi;3200;16;1.0317841648130559e-13;2.1066847766775316e-11;2.19
gmres;bjacobi;6400;1;1.0317855280909229e-13;2.1064444335232504e-11;1.72
gmres;bjacobi;6400;2;1.0317584667122077e-13;2.10640915521297e-11;1.59
gmres;bjacobi;6400;4;1.0317644512363896e-13;2.106444118538977e-11;1.47
gmres;bjacobi;6400;8;1.0317820790451858e-13;2.106444649176822e-11;1.48
gmres;bjacobi;6400;16;1.0317762650441882e-13;2.1064320709221577e-11;2.28
gmres;bjacobi;12800;1;1.0317855109793912e-13;2.1066129978978436e-11;2.49
gmres;bjacobi;12800;2;1.0317325710618086e-13;2.106542343092254e-11;2.09
gmres;bjacobi;12800;4;1.0317569117177654e-13;2.106612896275368e-11;1.67
gmres;bjacobi;12800;8;1.0317759080815418e-13;2.1066133034654927e-11;1.62
gmres;bjacobi;12800;16;1.0317771556553452e-13;2.1066019008591124e-11;2.47
gmres;bjacobi;25600;1;1.03178550667068e-13;2.1066206501188367e-11;3.97
gmres;bjacobi;25600;2;1.0317612662480854e-13;2.1065444350588248e-11;3.13
gmres;bjacobi;25600;4;1.0317046596418107e-13;2.1066186588482124e-11;2.23
gmres;bjacobi;25600;8;1.0317434908880045e-13;2.106619232607799e-11;1.90
gmres;bjacobi;25600;16;1.0317752729601446e-13;2.10660713859006e-11;2.76
gmres;bjacobi;51200;1;1.0317855055903718e-13;2.106506683415922e-11;7.33
gmres;bjacobi;51200;2;1.0316050955746816e-13;2.1063588592993538e-11;5.33
gmres;bjacobi;51200;4;1.0315597398736244e-13;2.1065051448499545e-11;3.88
gmres;bjacobi;51200;8;1.0317454396318353e-13;2.1065054663866906e-11;2.79
gmres;bjacobi;51200;16;1.0317273477698485e-13;2.1064363246341005e-11;3.58
gmres;asm;100;1;1.0318208335598949e-13;2.1013640697191165e-11;1.05
gmres;asm;100;2;1.0318200149091128e-13;2.1013631535974165e-11;1.15
gmres;asm;100;4;1.0318307738755291e-13;2.101371115764756e-11;1.18
gmres;asm;100;8;1.0318190317924302e-13;2.101361768155324e-11;1.40
gmres;asm;100;16;1.0318214956578252e-13;2.101363064630986e-11;2.17
gmres;asm;200;1;1.0317943928545273e-13;2.1103826845690364e-11;1.04
gmres;asm;200;2;1.0317937528269276e-13;2.110381701944574e-11;1.15
gmres;asm;200;4;1.031793980668911e-13;2.1103826798171875e-11;1.19
gmres;asm;200;8;1.0317942844298403e-13;2.1103827786170102e-11;1.31
gmres;asm;200;16;1.0317940244785377e-13;2.1103824001928172e-11;2.24
gmres;asm;400;1;1.0317873426372776e-13;2.1027741706710014e-11;1.09
gmres;asm;400;2;1.031786011318282e-13;2.10277111713237e-11;1.16
gmres;asm;400;4;1.0317860492505286e-13;2.1027741794445443e-11;1.20
gmres;asm;400;8;1.0317862262525147e-13;2.102773939013955e-11;1.30
gmres;asm;400;16;1.0317863043939665e-13;2.1027731459152038e-11;2.16
gmres;asm;800;1;1.0317856627263596e-13;2.103648137016965e-11;1.12
