solver;pc;N;np;L2;H1;time
preonly;cholesky;100;1;1.0318208335598949e-13;2.1013640697191135e-11;1.34
preonly;cholesky;100;2;1.0318208335598952e-13;2.101364069719113e-11;1.90
preonly;cholesky;100;4;1.0318208335598954e-13;2.1013640697191116e-11;1.77
preonly;cholesky;100;8;1.0318208335598954e-13;2.1013640697191116e-11;2.13
preonly;cholesky;100;16;1.0318208335598953e-13;2.101364069719113e-11;3.88
preonly;cholesky;200;1;1.0317943928545269e-13;2.1103826845690357e-11;1.15
preonly;cholesky;200;2;1.0317943928545273e-13;2.1103826845690296e-11;1.75
preonly;cholesky;200;4;1.0317943928545277e-13;2.1103826845690296e-11;1.90
preonly;cholesky;200;8;1.031794392854528e-13;2.110382684569031e-11;2.21
preonly;cholesky;200;16;1.0317943928545279e-13;2.110382684569033e-11;4.13
preonly;cholesky;400;1;1.0317873426372776e-13;2.1027741706710004e-11;1.05
preonly;cholesky;400;2;1.0317873426372775e-13;2.1027741706709985e-11;2.06
preonly;cholesky;400;4;1.0317873426372777e-13;2.1027741706709988e-11;2.27
preonly;cholesky;400;8;1.0317873426372777e-13;2.1027741706709985e-11;2.55
preonly;cholesky;400;16;1.0317873426372777e-13;2.1027741706709985e-11;4.76
preonly;cholesky;800;1;1.03178566272636e-13;2.1036481370169683e-11;1.09
preonly;cholesky;800;2;1.0317856627263601e-13;2.10364813701696e-11;2.74
preonly;cholesky;800;4;1.0317856627263601e-13;2.10364813701696e-11;2.88
preonly;cholesky;800;8;1.0317856627263602e-13;2.1036481370169593e-11;3.30
preonly;cholesky;800;16;1.0317856627263602e-13;2.1036481370169593e-11;5.94
preonly;cholesky;1600;1;1.0317858115077294e-13;2.1080079605598424e-11;1.16
preonly;cholesky;1600;2;1.0317858115077294e-13;2.1080079605598482e-11;4.10
preonly;cholesky;1600;4;1.0317858115077292e-13;2.1080079605598472e-11;4.14
preonly;cholesky;1600;8;1.0317858115077296e-13;2.1080079605598472e-11;4.64
preonly;cholesky;1600;16;1.0317858115077283e-13;2.108007960559836e-11;8.42
preonly;cholesky;3200;1;1.0317855943852642e-13;2.106686478314364e-11;1.31
preonly;cholesky;3200;2;1.0317855943852642e-13;2.1066864783143708e-11;6.91
preonly;cholesky;3200;4;1.0317855943852647e-13;2.1066864783143692e-11;6.84
preonly;cholesky;3200;8;1.0317855943852642e-13;2.1066864783143718e-11;7.38
preonly;cholesky;3200;16;1.031785594385265e-13;2.106686478314373e-11;12.91
preonly;cholesky;6400;1;1.0317855280909282e-13;2.1064444335232094e-11;1.60
preonly;cholesky;6400;2;1.031785528090929e-13;2.106444433523198e-11;12.30
