sg_1;sg_2;sg_3;sg_4;sg_5;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.2199;0.0;0.0;-194.8427688;1.1e-07;-569.98302939;-8.692e-05;-271.62821102;-4.4e-07;3.75269683;-0.00066329
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0942;0.0;546.00321402;-0.00041577;1122.3337163;-0.00037293;-547.74380072;-0.00125878;1761.43960567;-0.02325499
0.1885;0.0;0.0;0.0;0.0;408.62334909;-0.00024448;-4774.73702996;-0.00839686;-222.05047234;4.658e-05;21635.24977704;-2.56169338
0.0;0.0;0.0;0.2513;0.0;-401.04950243;-0.00011357;6434.5449019;-0.01613832;-253.109913;0.0001091;-1719.15087174;-0.06354085
0.1571;0.0;0.0;0.0;0.0;51194.73490819;-2.70360359;1955.71001571;-0.00117836;-190.94229109;-2.862e-05;-1883.00435326;0.2129016
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.2199;873.92509143;-0.00071103;-344.43362174;-2.968e-05;-876.30684765;-0.00045529;123.23182769;-0.00057001
0.0;0.0;0.1571;0.0;0.0;838.49149277;-0.00091974;2171.93603933;-0.00134029;-258.39324733;-3.745e-05;-231.33166321;-0.00592507
0.0;0.0;0.0;0.0;0.2199;489.47915288;-0.00043137;713.7590963;-0.0002177;-628.00960712;-0.00012226;156.24997795;-0.00059967
0.0;0.0;0.0;0.2513;0.0;-311.26198109;4.589e-05;-1471.27062194;-0.00063618;-424.21765833;-0.00010547;-596.02579434;-0.00853373
0.0;0.0;0.0;0.1571;0.0;309.16010219;-0.00017926;-4786.59617011;-0.00639833;-142.57090246;-9.508e-05;-350.51620761;-0.00138251
0.0;0.0;0.0;0.0942;0.0;463.11843264;-0.00033548;1026.58680041;-0.0003027;-372.20607611;-0.00014456;789.35074629;-0.00117179
0.0;0.0;0.0;0.1571;0.0;-7118.58873283;-0.03425142;2602.61501815;-0.00178579;-0.90072925;-0.00121785;466.66308716;-0.00096009
0.2199;0.0;0.0;0.0;0.0;-131.82254322;1.302e-05;-696.88580871;-0.0002242;-190.69365887;2.706e-05;294.26804884;-0.0004628
0.0;0.0;0.1885;0.0;0.0;623.80784886;-0.00053633;1196.91074613;-0.0005357;-605.44256686;-0.00055511;292.71041461;-0.00220908
0.0;0.1885;0.0;0.0;0.0;-260.5434856;-2.588e-05;-891.74805648;-0.00020901;-379.34399641;-0.00011985;30560.38558796;-7.0233289
0.0;0.0;0.0;0.0942;0.0;413.91510129;-0.00027553;2185.08198813;-0.00143355;-179.63012808;-0.00013179;651.92442577;-0.00335104
0.2827;0.0;0.0;0.0;0.0;-160.05845427;1.172e-05;-620.54401424;-0.00012398;64.19350447;-0.00023112;531.62125982;-0.0161201
0.0;0.1257;0.0;0.0;0.0;93.29106373;-2.646e-05;-2787.76104075;-0.00204038;-277.77641719;-3.289e-05;1135.13618481;-0.00175171
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.0;0.1571;709.23371428;-0.00060646;1352.17174372;-0.00051212;-314.65498299;-4.224e-05;-39.41847127;-0.00197126
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.2513;0.0;-298.16957065;1.64e-06;-729.05449743;-0.00013962;-583.35559537;-9.549e-05;913.59436404;0.00093201
0.0314;0.0;0.0;0.0;0.0;405.23289878;-0.00025164;1446.43034775;-0.00053185;-840.89367438;-0.00026812;519.07912317;-0.00031976
0.1885;0.0;0.0;0.0;0.0;-141.19798814;8.85e-06;-1274.81976565;-0.00050702;-228.08558297;-0.00010286;600.38706852;-0.00194853
0.1885;0.0;0.0;0.0;0.0;-589.66697595;-0.00023917;-1617.45644798;-0.00083356;-391.91097865;8.6e-07;2015.66839342;-0.03830701
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.2513;0.0;0.0;0.0;218.79703045;-9.93e-05;-1085.24190432;-0.00029196;-366.57892166;-0.0001611;-330.90192751;-0.00686482
0.0942;0.0;0.0;0.0;0.0;482.71553952;-0.00036425;1779.36102339;-0.00074894;-5.8496197;-0.00019577;406.11402825;-6.345e-05
0.0;0.0;0.1257;0.0;0.0;-321.25698826;-2.23e-05;-2055.01651577;-0.00111785;-421.56996096;-0.00012649;-81.14782567;0.00049699
0.0;0.1885;0.0;0.0;0.0;-168.25036206;-1.97e-06;-1646.56743675;-0.00078436;-523.30831047;0.00014234;-2511.56282109;-0.44967303
0.0;0.0;0.0;0.0;0.1571;271.68998157;-0.00017461;1371.85753296;-0.00057914;-103.52104423;-0.0002832;1130.11591732;-0.01079148
0.0;0.0;0.0;0.0;0.3142;-1263.18776322;-0.00082291;-931.34443606;-0.00039962;-367.74445195;7.587e-05;741.71238835;-0.03128162
0.0;0.0;0.0;0.0942;0.0;410.81852905;-0.00023839;654.05426814;-0.0001232;-476.18087635;-6.936e-05;348.52348869;-0.00036887
0.0;0.2513;0.0;0.0;0.0;-393.01334294;-9.256e-05;-1161.79449895;-0.00038879;-742.51060681;-0.00036051;-506.56293891;-0.00694394
0.0;0.1885;0.0;0.0;0.0;-773.01632816;-0.00049087;-1400.69052096;-0.00047325;-969.03659925;-0.00076663;-67.99797881;-0.00047877
0.2199;0.0;0.0;0.0;0.0;103.60306149;-3.411e-05;-553.42427002;-5.369e-05;4559.91723477;-0.05220559;2687.52008029;-0.07912822
0.0;0.0;0.0;0.0;0.0628;507.48737534;-0.0003292;3109.70491828;-0.00240637;-784.62319273;-0.00021965;669.70089514;0.00032226
0.0314;0.0;0.0;0.0;0.0;405.23289878;-0.00025164;1446.43034775;-0.00053185;-840.89367438;-0.00026812;519.07912317;-0.00031976
0.2513;0.0;0.0;0.0;0.0;-66.9073528;1.175e-05;-344.98120828;-1.221e-05;-51.11578704;8.63e-06;351.54167986;0.01834807
0.1257;0.0;0.0;0.0;0.0;-3195.35540312;-0.01035705;-2301.62052557;-0.00127799;-292.38377391;-3.078e-05;100.98086986;0.00076291
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.0;0.0;0.1571;0.0;-314.07355415;4.046e-05;-2029.8197174;-0.00102987;-432.79272231;-9.242e-05;754.76479217;-0.00059157
