sg_1;sg_2;sg_3;sg_4;sg_5;sg_6;sg_7;sg_8;sg_9;sg_10;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.0;0.0;0.0;0.0;0.0;0.0;0.0628;0.0;0.0;0.0;-459.46655636;-0.00117335;495.93004905;-0.00322538;-542.21255047;-0.43457848;-347.17602055;-0.24989
0.1257;0.0;0.0;0.0;0.0;0.1571;0.0;0.0;0.0;0.0;-451.31875126;-0.00235771;563.08542763;-0.03059745;-455.90538255;-0.12037671;-288.45134662;6.12889983
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1257;-484.43399095;-0.00114858;505.49265678;-0.00462531;-647.25234374;-0.12904124;-132.60227449;-2.9787917
0.0;0.0;0.0;0.0;0.0;0.0;0.1257;0.0;0.0;0.0;-445.49009463;-0.00200661;448.50730603;-0.00247054;-662.31351481;-0.13579073;-535.84826857;-0.09525514
0.0;0.0;0.0942;0.0;0.0;0.1257;0.0;0.0;0.0;0.0;-461.27666617;-0.00262412;414.1680775;0.00274991;-549.01228481;-0.13782701;-483.5048561;0.15734
0.0;0.0;0.0;0.0;0.0;0.1885;0.0;0.0;0.1257;0.0;-446.42942044;-0.00327409;449.16757741;-0.00973407;-475.49979699;-0.62530058;-847.87554065;13.08925543
0.1571;0.0;0.1885;0.1885;0.1885;0.0;0.0;0.1257;0.0;0.1885;-443.22214904;-0.00072763;750.66709339;-0.54755754;-164.14236091;4.01600663;1238.62968503;1402.13445984
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.0;0.0;-472.02068343;-0.00157913;452.112424;-0.00259743;-614.21062787;-0.12474953;-577.43100999;2.10567449
0.0;0.0;0.0;0.0;0.1571;0.0;0.1571;0.0;0.0;0.1885;-424.15598532;-0.00524051;35186.52586731;-5581.48638503;-500.71836246;0.10566728;2530.83095784;106.3593408
0.0;0.0;0.2513;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-451.54749825;-0.00362161;502.32999187;-0.00940672;-574.62925621;-0.02366028;-278.61864359;2.66900402
0.0;0.0;0.0;0.1571;0.0;0.0;0.2199;0.0;0.0;0.0942;-411.15743631;-0.00470405;1552.66105596;-7.84910391;-463.45617317;0.11781492;-1121.58021315;7.22495399
0.1257;0.0;0.0;0.0;0.0;0.1571;0.0;0.0628;0.0;0.0;-420.63716496;-0.00345032;542.00487995;-0.07182974;-770.65136561;-16.55050146;-470.68223797;1.51315629
0.0;0.0;0.0;0.0;0.0942;0.0;0.0942;0.0942;0.0;0.1257;-398.52833692;-0.00385782;10.88697006;-0.89811334;-455.82440668;-0.18633611;-649.82785474;0.45605346
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.0;-455.42430065;-0.00177178;401.85206026;0.00020314;-543.62870855;-0.14478822;-424.49027941;-0.05296023
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1885;0.0;0.0;-430.37170398;-0.00271495;547.8684751;-0.02199375;-404.07238287;-0.17261224;-654.24513233;0.01762944
0.0;0.0;0.0;0.2199;0.1571;0.0;0.1885;0.0;0.0;0.0;-477.91819743;-0.00288749;334.65645875;-0.21625921;-802.80486111;1.67417596;-1849.38456376;21.00531834
0.0;0.0;0.0628;0.2199;0.0;0.1257;0.0628;0.0;0.0;0.0;-419.50283671;-0.00511826;-40332.68432837;-4355.74212224;-444.58510741;0.06522901;-2126.81259719;22.3929054
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.0;-465.80968868;-0.00185137;444.87681622;0.00203417;-599.6678915;-0.14153288;-566.9851023;1.75006033
0.0;0.1885;0.0;0.0;0.2199;0.0;0.0;0.0;0.0;0.0;-479.45839434;-0.00337126;651.40377389;-0.09813667;-362.68363803;-0.01320447;-843.18504366;3.19102399
0.0;0.1257;0.0;0.0;0.1571;0.0;0.0;0.0;0.0;0.0;-491.9656966;-0.00300772;432.73803775;0.00029566;-379.37680198;-0.29131019;-628.58886101;0.92256403
0.0;0.0;0.0;0.0;0.1571;0.0;0.0;0.0;0.1885;0.1885;-404.74480888;-0.00439654;368.14685037;-0.45492359;-578.94090646;0.30724582;-2049.61976513;15.99793268
0.1571;0.0;0.0;0.0;0.0;0.1257;0.0;0.0;0.0;0.0;-458.40588019;-0.0036771;540.44124834;-0.05926596;-428.99987678;-0.71858198;-553.76262358;1.50412253
0.0;0.0;0.0;0.0;0.0;0.0;0.0942;0.0;0.1257;0.0;-426.42160488;-0.0032794;448.11335087;-0.00110849;-564.58492891;-0.05457805;-461.40591286;-0.12065778
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;-455.44794858;-0.00199943;510.75195156;-0.00893405;-601.36546531;-0.1304188;-569.62368553;-0.16412208
0.0;0.0;0.0;0.0;0.1885;0.0;0.0;0.0;0.0;0.0;-456.48005882;-0.00251314;500.69506817;-0.01131708;-500.4350853;-0.16015093;-481.43864418;-0.10481407
0.0628;0.0;0.0;0.1571;0.0;0.0;0.0;0.0;0.0;0.1885;-461.77529931;-0.00390486;611.47556976;-0.21183443;-480.39797374;-0.02316227;-626.8689854;1.30379075
0.0;0.0;0.0;0.0;0.2199;0.0;0.0;0.0;0.0;0.0;-434.85665969;-0.00339157;397.80801761;0.00039877;-470.05262658;-0.11264128;-850.07163338;11.10259584
0.1885;0.0;0.0;0.0;0.0;0.0;0.1257;0.0;0.0;0.1571;-435.88311992;-0.00334906;916.34570956;-0.99707422;-498.86573308;0.21255168;-1036.05968746;3.42566525
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1257;-430.94061032;-0.0029862;467.27017867;-0.00319773;-736.60020251;-0.09095998;-488.60316066;-0.25286
0.0;0.0;0.0;0.0628;0.0;0.0;0.0;0.0;0.0;0.0;-475.21586282;-0.00075476;436.41701821;0.00389163;-798.12202659;-0.06831387;-457.67335237;0.0087792
0.0;0.0;0.0;0.0;0.1571;0.0;0.2199;0.0942;0.0;0.2199;-400.61622285;-0.00284531;250.057985;-0.37624996;-974.34273631;5.58659262;540.67539346;36.57292867
0.0;0.0;0.0942;0.0;0.0;0.0;0.0;0.0;0.1257;0.0;-430.72748226;-0.00368586;433.00514321;-0.00390105;-557.43041508;-0.17652477;-498.8032423;1.1453975
0.0;0.0;0.0;0.0;0.0;0.0;0.2513;0.0;0.0;0.0628;-465.20331956;-0.00221149;516.657944;-0.02358614;-488.4365835;-0.15121639;-440.19989808;-0.5150816
0.0;0.1257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-470.93916303;-0.00182215;425.56202395;0.00045753;-571.82141235;-0.14410532;-625.58732307;0.71145607
0.0;0.0;0.0;0.0;0.0;0.1571;0.0;0.0;0.0;0.0;-459.13757608;-0.00194778;482.20754038;-0.00547997;-780.10579081;-0.04752791;-149.93935423;0.65931793
0.1571;0.0;0.0;0.0;0.1571;0.1571;0.0;0.0;0.0;0.2199;-427.51215327;-0.00519842;284.48026679;-0.63627273;1177.73880606;20.97483547;13148.37396094;5225.32314024
0.0;0.0;0.0;0.0;0.1885;0.0;0.0;0.0;0.0;0.0942;-495.85606661;-0.0023672;396.64602907;-0.00611217;-564.21503924;-0.05150995;-668.91707849;-3.35772943
0.0;0.0;0.0942;0.0;0.2199;0.0;0.0;0.0;0.0;0.0;-445.60439719;-0.00289632;590.15975004;-0.07861287;-502.13392212;-0.36761498;-474.71491809;0.13049632
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.0;0.0;-464.05762879;-0.00160368;459.72690899;-0.00192182;-661.81970779;-0.14205645;-511.59630538;-0.32215059
0.0942;0.0;0.0;0.0;0.0;0.0;0.1885;0.0;0.0;0.0;-446.35634143;-0.00228969;643.63139929;-0.08149498;-475.5434526;-0.31635662;-510.73905798;0.72083913
0.0;0.0;0.0;0.0;0.0;0.0;0.1571;0.0;0.0;0.0;-448.27227831;-0.00230213;517.70546618;-0.01995209;-489.74149037;-0.13680914;-496.15548318;-0.18329665
0.0;0.0;0.0;0.1885;0.0942;0.0628;0.1257;0.1257;0.0;0.1571;-419.39157523;-0.00288501;833.46564221;-0.82222802;227.44969966;48.9151623;727.78527743;7.9500765
0.0;0.0;0.0;0.0;0.0;0.1257;0.0;0.0;0.0;0.0;-465.32968374;-0.00120606;479.27751883;-0.005707;-704.14997909;-0.1088301;-530.8549118;0.79098984
0.0628;0.0;0.0;0.0;0.1571;0.0;0.0;0.0;0.0;0.0;-416.23494793;-0.00393884;471.89997475;-0.00719011;-521.31193591;-0.07720338;-107.10416618;-3.13053816
0.0;0.0;0.1257;0.0;0.0;0.0628;0.0;0.0;0.0;0.0;-432.14708344;-0.00355181;443.92798946;-0.01128203;-596.13342598;-0.09470959;-529.80294214;-0.85607916
0.2199;0.0;0.0628;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-410.59456792;-0.00374757;613.65803084;-0.0623649;-461.80541899;-0.06040603;-526.04897167;0.00522592
0.1257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-471.97781633;-0.00181459;511.21240245;-0.01109748;-530.98599832;-0.12307047;-1246.51595002;-7.96036184
0.2199;0.1257;0.1257;0.0;0.0;0.0;0.0628;0.0628;0.0;0.0;-406.05516924;-0.00394317;-2111.78479051;-73.82400569;-492.81330733;0.31798842;943.89273268;6.81613335
0.0;0.0;0.0;0.1571;0.0;0.0;0.0;0.0;0.0;0.0;-459.89272442;-0.00240108;470.28806414;-0.0053656;-671.99814156;-0.15408138;-764.14696916;-10.52316541
0.0;0.0;0.0;0.1571;0.0;0.1571;0.1257;0.0;0.0;0.0;-423.66769254;-0.00405288;688.62090967;-0.35391775;-453.3601476;0.08822918;-703.46107032;1.58456141
0.0;0.0;0.0;0.0;0.0;0.1571;0.0;0.1885;0.0;0.0;-447.39905246;-0.00298741;491.15601482;-0.0473795;-397.62564815;-0.16523966;64.7268412;9.41362724
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2199;0.1571;0.0;-437.48686148;-0.00229527;621.23733514;-0.1732023;-560.50646505;-0.31517772;-482.45095865;0.04079037
0.0;0.0;0.0;0.0;0.0;0.1257;0.0;0.0;0.2199;0.0;-420.5830046;-0.00412167;487.49114664;-0.0401648;-514.57029787;-0.63684009;-677.17696652;0.61193314
0.0;0.0;0.1571;0.1885;0.0;0.0;0.0;0.0;0.0;0.0;-433.07239263;-0.00403209;437.82130586;-0.00498002;-444.0785562;-0.67956358;-384.93014781;-1.0545175
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1257;-442.62010456;-0.00228062;450.11219198;-0.00125595;-623.67899446;-0.10415095;-210.22142792;-1.950997
0.0;0.0;0.0;0.1885;0.0;0.0;0.0;0.0;0.1257;0.1257;-386.62493972;-0.00535149;1629.92327643;-11.20693202;-485.912536;0.08868119;-1022.93147409;9.6866742
0.0942;0.1257;0.1257;0.0;0.0;0.2199;0.0;0.1257;0.0;0.0942;-407.80640246;-0.00305777;503.86407859;-0.20185968;-3769.24356539;111.33245754;398.27193367;0.27173575
0.0;0.0;0.0;0.1885;0.0;0.0;0.0;0.0;0.0;0.0;-478.31476133;-0.00262996;491.60208966;-0.0124491;-515.63603138;-0.12988345;-604.33855779;-0.01461605
0.0;0.0942;0.0;0.0;0.0;0.1885;0.1571;0.0;0.0;0.0;-410.85646306;-0.00501003;491.42096704;-0.11082069;-477.30339986;-0.00251748;-688.55666267;7.14713089
0.2199;0.0;0.1571;0.0;0.0;0.0;0.0942;0.1257;0.0;0.0;-410.6767169;-0.00305634;733.38508206;-0.29043029;-2606.62836689;73.47212718;-1914.28918529;17.39138474
0.0;0.0;0.0;0.0;0.1257;0.0942;0.0;0.0;0.0;0.0;-464.62927747;-0.00264766;555.45485153;-0.03843597;-546.71864535;-0.06898294;-419.43827012;-0.1135481
0.0;0.1571;0.0;0.0;0.0;0.1885;0.0;0.2199;0.0;0.1885;-364.99453429;-0.00353812;-827.70197759;-6.13445995;-396.53855802;2.16323296;708.26672938;10.55156769
0.0;0.0;0.0;0.0;0.1571;0.0;0.0;0.0;0.0;0.0;-436.55862465;-0.00284466;486.66292992;-0.00810546;-598.81227584;-0.17074739;-399.27346578;-0.14246176
0.0;0.0;0.1571;0.1885;0.0;0.1885;0.0;0.0;0.0;0.0;-395.6829826;-0.00390315;-1995.42687662;-34.59424174;-453.8427199;0.10263012;-668.01597458;3.2797954
0.0;0.0942;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1885;-424.8377388;-0.00436067;494.74561245;-0.02427866;-570.32238839;0.31166677;-454.02815105;0.04915553
0.0;0.0;0.0;0.1257;0.0;0.0;0.0628;0.0;0.0;0.0;-424.38724796;-0.00359241;506.83205108;-0.02387352;-645.7524667;-0.10528898;-604.3908485;3.78329518
0.0;0.0;0.0;0.0628;0.0;0.1257;0.0;0.0;0.0;0.0;-440.07177335;-0.00265853;494.99724774;-0.01236763;-490.94380717;-0.13093506;-397.51206502;-0.69595526
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0628;0.0;-464.71834922;-0.0009079;460.63753649;0.00128111;-792.02408814;-0.09566269;-429.5640359;-0.06016037
0.1571;0.0;0.0;0.0628;0.1257;0.1885;0.1885;0.0;0.1571;0.1885;-394.24925479;-0.00027066;97436.84951421;-13611.47166314;257.21472239;15.88709532;1004.0458481;-14.25213801
0.0;0.1257;0.0;0.0;0.0;0.0;0.0;0.0628;0.2199;0.0;-414.66258931;-0.00397164;496.92304676;-0.13908642;-459.47980348;-0.09771508;-646.93183835;0.96006584
0.1257;0.0;0.0;0.0;0.0942;0.1571;0.1257;0.0;0.1885;0.0;-380.77442648;-0.00498364;318.97005622;-0.32456974;-897.852906;2.76629276;1337.08334459;-1.8238902
0.0;0.0;0.0;0.0;0.1885;0.0;0.0;0.0;0.0;0.0;-448.62107974;-0.00318932;445.18156133;-0.00112786;-624.7807958;-0.1192619;-369.63391937;-0.83156954
0.0;0.0;0.1257;0.0;0.0;0.0;0.1571;0.0;0.0;0.0;-463.17353045;-0.00325089;523.68812955;-0.06725472;-494.83418491;-0.36950961;-593.01996863;0.30748393
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0942;-466.92664219;-0.00111991;485.26661858;-0.00353559;-880.29225485;-0.01223987;-121.161046;-2.61632178
0.0628;0.0;0.0;0.1571;0.1257;0.0;0.1571;0.0;0.1571;0.0;-385.96665965;-0.0045066;197.22575854;-0.45840063;-869.06955521;2.60585242;3401.50744941;303.8584176
