sg_1;sg_2;sg_3;sg_4;sg_5;f_1_r;f_1_i;f_2_r;f_2_i;f_3_r;f_3_i;f_4_r;f_4_i
0.0;0.1571;0.0;0.0;0.0;-255.19500659;-3.565e-05;-876.05614101;-0.00022804;-880.97864545;-0.00034124;1497.27940393;-0.01430735
0.0;0.0;0.0;0.0;0.1885;438.16553699;-0.00029638;-1346.43617112;-0.00041027;-14.21726451;-0.00250548;-97.60924246;-0.00060017
0.0;0.1885;0.2199;0.1257;0.0;-160.24774721;1.642e-05;-653.49596526;-5.244e-05;1179.96133959;0.00256739;8.40144838;7.96e-06
0.0;0.1885;0.0;0.0;0.0;1318.88960697;-0.0029359;-894.49198387;-0.00026804;-344.37835258;-1.776e-05;-2710.36025935;-0.04168143
0.0;0.2827;0.0;0.0;0.1571;-81.21373829;1.22e-06;-360.10209732;-2.531e-05;4188.94919507;0.07988242;-495.5041806;-0.00362015
0.1257;0.0314;0.0;0.0;0.0942;-158.60299791;1.948e-05;-734.71178745;-0.00017111;-258.86689538;1.054e-05;982.31116111;-0.00335497
0.0;0.0;0.0;0.0;0.0314;405.23289878;-0.00025164;1446.43034775;-0.00053185;-840.89367438;-0.00026812;519.07912317;-0.00031976
0.1257;0.0;0.0;0.0628;0.0;-2224.88715311;-0.00807577;5606.71063347;-0.00798631;-324.99980578;-3.689e-05;-3880.70598656;0.13899177
0.0;0.1885;0.0;0.0;0.0;-107.30051838;8.84e-06;-1750.0438902;-0.00071606;-449.47592942;-4.372e-05;1097.66466763;0.00818363
0.1257;0.0;0.1885;0.0;0.0;-68.72054937;7.02e-06;-651.71659367;-8.408e-05;-76.58883565;0.0011341;563.75339759;-0.01847029
0.0;0.2199;0.0;0.1257;0.0;-503.54532875;0.00013702;-579.85832691;-6.318e-05;-501.39975407;-0.00025077;-24794.47374763;-4.41197843
0.0;0.0;0.0;0.0628;0.0314;167.54064413;-7.762e-05;818.3787804;-0.00020086;-517.48470113;-0.00031814;720.57316747;0.00563654
0.0;0.0;0.1885;0.0;0.0;69.04421151;-2.215e-05;-352.51035089;-5.205e-05;-320.38794909;-4.219e-05;86.97326638;-0.00065588
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.1885;0.0;0.0;0.3142;0.0;-159.01107552;1.728e-05;-871.5024192;-9.661e-05;-283.11120356;0.00017938;-613.02690038;-0.00746204
0.0;0.2513;0.0;0.1885;0.0;-954.19848949;0.00014551;-589.53612541;-3.37e-05;70.33769188;0.00017483;-250.01601002;-0.00291575
0.0628;0.0;0.2199;0.0;0.0;-159.05362527;-2.635e-05;-745.52291887;-0.00013452;-325.31331347;-0.00015561;-234.78598129;0.00113153
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.1257;0.0;0.1571;0.1257;0.0;-192.52287612;-1.778e-05;-278.4615996;-1.601e-05;-1924.80405966;0.00520573;10.53750901;0.00366269
0.0;0.0;0.0;0.0;0.0;405.23674842;-0.00025165;1446.44504275;-0.00053185;-840.90382254;-0.00026812;519.16900865;-0.00031994
0.0;0.1257;0.1571;0.0;0.2513;-682.19795257;-0.00079884;-533.98288514;-5.93e-05;129.87267668;5.079e-05;3.54985244;-0.00050968
0.0;0.0628;0.0;0.0;0.0;-415.95471186;-0.00012907;2673.95343167;-0.0018589;-756.90303801;-0.00020862;432.19383288;0.00020094
0.0628;0.0;0.0;0.0;0.0;-425.99505498;-0.00013265;2457.26769231;-0.00155524;-590.24293251;-0.00011788;758.08491494;-0.01153419
