N,||u(D)||L2,r_L2
100,2.2499353940012327e-14,
200,2.2488518646544945e-14,
400,2.2485817026308082e-14,2.0038414321655464
800,2.2485228223380883e-14,2.197968142408044
1600,2.248495802342623e-14,1.1237574111528539
3200,2.2484982608827387e-14,3.4581536318610286
6400,2.2484993275572836e-14,1.2046818355706292
12800,2.2484995866768555e-14,2.0414301653719518
25600,2.2484996503680594e-14,2.0244519430958126
51200,2.2484996662247085e-14,2.0060062113499972
