sg_1;sg_2;sg_3;sg_4;sg_5;sg_6;sg_7;sg_8;sg_9;sg_10;t_1;t_2;t_3;t_4;t_5
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.7021;46.2449;3.2941;1.4353;19.2553
0.0;0.1571;0.0;0.1257;0.0;0.0;0.0;0.0;0.0;0.0;124.0904;42.634;-89.9949;-48.693;-11.9174
0.0;0.0;0.0;0.0;0.0;0.1885;0.0;0.0;0.0;0.1885;150.9819;40.7272;-46.3422;-24.876;-35.1169
0.0;0.0;0.0;0.2513;0.0;0.1571;0.0;0.0;0.0;0.1885;84.7579;71.2752;10.8266;-36.0068;-47.0698
0.0;0.1257;0.0;0.1257;0.0;0.0;0.0;0.0;0.0;0.0;97.8845;56.2917;-55.471;-11.436;12.0399
