solver;pc;N;np;L2_r;H1_r;L2_c;H1_c;time
preonly;cholesky;20;1;4.645349326099181e-16;9.317120483639687e-13;1.809317859548903e-21;3.46731073599741e-18;1.26
preonly;cholesky;20;2;4.645349326098924e-16;9.317120483639337e-13;1.809317859548453e-21;3.467310735996633e-18;1.22
preonly;cholesky;20;4;4.645349326098071e-16;9.317120483638427e-13;1.8093178599918866e-21;3.467310736866988e-18;1.21
preonly;cholesky;20;8;4.645349326098822e-16;9.31712048363918e-13;1.8093178595344286e-21;3.467310735974987e-18;1.33
preonly;cholesky;20;16;4.645349326098885e-16;9.317120483639295e-13;1.8093178595512602e-21;3.4673107360021168e-18;2.15
preonly;cholesky;40;1;4.645336857312857e-16;9.317443559332645e-13;1.8093102900841993e-21;3.4673252196533884e-18;2.35
preonly;cholesky;40;2;4.645336857313662e-16;9.31744355933381e-13;1.809310290020924e-21;3.4673252195450707e-18;1.56
preonly;cholesky;40;4;4.645336857313916e-16;9.317443559334105e-13;1.809310289999405e-21;3.4673252195051797e-18;1.52
preonly;cholesky;40;8;4.645336857313659e-16;9.31744355933378e-13;1.809310290026024e-21;3.4673252195542778e-18;1.53
preonly;cholesky;40;16;4.645336857313681e-16;9.317443559333818e-13;1.8093102900260332e-21;3.4673252195542847e-18;2.41
preonly;cholesky;80;1;4.6453361289863855e-16;9.317526971675331e-13;1.8093098610465577e-21;3.4673309104641065e-18;10.40
preonly;cholesky;80;2;4.64533612898922e-16;9.317526971679302e-13;1.809309861041263e-21;3.4673309104532724e-18;3.18
preonly;cholesky;80;4;4.645336128989085e-16;9.317526971679051e-13;1.8093098610411372e-21;3.4673309104530925e-18;2.75
preonly;cholesky;80;8;4.645336128989085e-16;9.317526971679071e-13;1.809309861041273e-21;3.4673309104532743e-18;2.56
preonly;cholesky;160;1;4.645336080949557e-16;9.317548415027972e-13;1.8093098339906974e-21;3.4673324732578344e-18;83.64
preonly;cholesky;160;2;4.645336080942321e-16;9.317548415018422e-13;1.80930983427895e-21;3.4673324737347413e-18;11.51
preonly;cholesky;160;4;4.645336080942073e-16;9.31754841501802e-13;1.8093098342787277e-21;3.4673324737343415e-18;9.20
preonly;cholesky;160;8;4.645336080941888e-16;9.317548415017644e-13;1.8093098342784324e-21;3.4673324737339575e-18;7.76
preonly;lu;20;1;4.645349326099109e-16;9.317120483639578e-13;1.809317859548485e-21;3.467310735996653e-18;1.25
preonly;lu;20;2;4.645349326099015e-16;9.317120483639467e-13;1.8093178595484484e-21;3.467310735996612e-18;1.26
preonly;lu;20;4;4.645349326098725e-16;9.317120483639093e-13;1.8093178594249756e-21;3.46731073577336e-18;1.25
preonly;lu;20;8;4.645349326099009e-16;9.317120483639473e-13;1.8093178595485033e-21;3.467310735996705e-18;1.34
preonly;lu;20;16;4.645349326099074e-16;9.317120483639527e-13;1.8093178595449787e-21;3.4673107359899176e-18;2.15
preonly;lu;40;1;4.645336857313119e-16;9.317443559333038e-13;1.8093102900114932e-21;3.4673252195296567e-18;2.33
preonly;lu;40;2;4.64533685731324e-16;9.31744355933328e-13;1.8093102900589373e-21;3.4673252196162954e-18;1.63
preonly;lu;40;4;4.645336857313275e-16;9.317443559333277e-13;1.8093102900256435e-21;3.4673252195536992e-18;1.52
preonly;lu;40;8;4.645336857313316e-16;9.317443559333321e-13;1.8093102900132894e-21;3.4673252195307533e-18;1.57
preonly;lu;40;16;4.645336857313353e-16;9.3174435593334e-13;1.809310290026691e-21;3.4673252195556132e-18;2.47
preonly;lu;80;1;4.645336128985533e-16;9.317526971674053e-13;1.8093098610577435e-21;3.467330910482374e-18;9.84
preonly;lu;80;2;4.645336128987107e-16;9.317526971676295e-13;1.809309861039328e-21;3.4673309104502857e-18;3.47
preonly;lu;80;4;4.645336128987184e-16;9.317526971676482e-13;1.8093098610394374e-21;3.4673309104504713e-18;3.03
preonly;lu;80;8;4.645336128987358e-16;9.317526971676695e-13;1.8093098610395356e-21;3.4673309104506092e-18;2.78
preonly;lu;160;1;4.645336080955937e-16;9.317548415037241e-13;1.8093098341646604e-21;3.467332473545493e-18;71.24
preonly;lu;160;2;4.645336080947126e-16;9.317548415025104e-13;1.80930983428379e-21;3.4673324737422047e-18;13.16
preonly;lu;160;4;4.645336080946839e-16;9.317548415024664e-13;1.8093098342836467e-21;3.467332473742022e-18;10.53
preonly;lu;160;8;4.645336080946876e-16;9.317548415024805e-13;1.8093098341991725e-21;3.4673324735802066e-18;8.49
preonly;bjacobi;20;1;7.964477784280803e-18;1.3444504174024968e-13;1.343395727226538e-23;2.2555237033898185e-19;1.10
preonly;bjacobi;20;2;8.85286443858265e-18;1.3695211615301992e-13;1.4972304468528052e-23;2.300625297250758e-19;1.14
preonly;bjacobi;20;4;5.851719210900509e-18;1.152218426298898e-13;9.822322617942982e-24;1.925544558641817e-19;1.15
preonly;bjacobi;20;8;5.7002959530849575e-18;1.1427502062164196e-13;9.56758215839615e-24;1.9095308825770977e-19;1.25
preonly;bjacobi;20;16;6.8670661411137975e-18;1.242131049625281e-13;1.1566755464311108e-23;2.0810342277013142e-19;2.03
preonly;bjacobi;40;1;3.1188571119118823e-18;9.481190339775087e-14;5.211644592784842e-24;1.5814951096817487e-19;1.27
preonly;bjacobi;40;2;2.6984529303912143e-18;8.74379776505919e-14;4.506396308201981e-24;1.457717456998587e-19;1.31
preonly;bjacobi;40;4;2.951539234516773e-18;9.578413488636815e-14;4.9304379136135836e-24;1.5976385993495482e-19;1.27
preonly;bjacobi;40;8;2.1664233663771196e-18;7.965159473631498e-14;3.613874323218303e-24;1.3269483428366592e-19;1.33
preonly;bjacobi;40;16;2.456498422727395e-18;8.763171469127724e-14;4.100737383751901e-24;1.46082764203102e-19;2.13
preonly;bjacobi;80;1;1.0802811634452786e-18;6.582594481895305e-14;1.7997064015716422e-24;1.0961558261797682e-19;2.01
preonly;bjacobi;80;2;1.0491798797272645e-18;6.73423771409163e-14;1.7477749220056244e-24;1.121403386474378e-19;1.85
preonly;bjacobi;80;4;9.944089460470975e-19;6.336305692639488e-14;1.6565226294367483e-24;1.0550765853884757e-19;1.75
preonly;bjacobi;80;8;8.811531223336503e-19;6.304646846811019e-14;1.4676004946122067e-24;1.0497344761131146e-19;1.77
preonly;bjacobi;80;16;8.875244752707532e-19;6.290756852495821e-14;1.478279368655392e-24;1.0474342470625291e-19;2.71
preonly;bjacobi;160;1;2.722029573180072e-19;4.2135608838951565e-14;4.531013049514042e-25;7.013333609438742e-20;5.44
preonly;bjacobi;160;2;2.897237204283027e-19;3.9763381879212625e-14;4.8227414621464895e-25;6.618402007541609e-20;4.42
preonly;bjacobi;160;4;3.3306224168125363e-19;4.4143402980814115e-14;5.544402094429968e-25;7.347748283082424e-20;3.79
preonly;bjacobi;160;8;3.486787828692593e-19;4.557269752344081e-14;5.804529676435179e-25;7.585785083837671e-20;3.68
preonly;bjacobi;160;16;3.1620408415441875e-19;4.4686151567129354e-14;5.263693306481746e-25;7.438078099656775e-20;5.37
preonly;asm;20;1;7.964477784280803e-18;1.3444504174024968e-13;1.343395727226538e-23;2.2555237033898185e-19;1.11
preonly;asm;20;2;8.85286443858265e-18;1.3695211615301992e-13;1.4972304468528052e-23;2.300625297250758e-19;1.17
preonly;asm;20;4;6.115041181010381e-18;1.170550264125423e-13;1.0270322967678978e-23;1.9569515892261749e-19;1.17
preonly;asm;20;8;6.183997239705497e-18;1.1773940113155359e-13;1.038688717005235e-23;1.9684361831868844e-19;1.26
preonly;asm;20;16;7.431259409547617e-18;1.2642830148328095e-13;1.2525769702898342e-23;2.1187481586498865e-19;2.03
preonly;asm;40;1;3.1188571119118823e-18;9.481190339775087e-14;5.211644592784842e-24;1.5814951096817487e-19;1.30
preonly;asm;40;2;2.7417571925556496e-18;8.859544469422155e-14;4.578898605306309e-24;1.4771030754518836e-19;1.31
preonly;asm;40;4;2.9978353550678013e-18;9.637791494048522e-14;5.0079306398175466e-24;1.6075994962056858e-19;1.31
preonly;asm;40;8;2.2812498224248038e-18;8.163317526043591e-14;3.806199122440444e-24;1.3601973929015677e-19;1.36
preonly;asm;40;16;2.5785842781310945e-18;8.950475244242491e-14;4.3047511917480314e-24;1.4921460185968163e-19;2.13
preonly;asm;80;1;1.0802811634452786e-18;6.582594481895305e-14;1.7997064015716422e-24;1.0961558261797682e-19;2.13
preonly;asm;80;2;1.0491798797272645e-18;6.73423771409163e-14;1.7477749220056244e-24;1.121403386474378e-19;1.94
preonly;asm;80;4;1.0042783662428145e-18;6.384618803457515e-14;1.6729726168793784e-24;1.0631301888460684e-19;1.77
preonly;asm;80;8;8.966114298020122e-19;6.345412766478104e-14;1.4933638930867213e-24;1.0565271376113091e-19;1.82
preonly;asm;80;16;9.231745507254781e-19;6.385930854548554e-14;1.5376985638370987e-24;1.0633013625576015e-19;2.82
preonly;asm;160;1;2.722029573180072e-19;4.2135608838951565e-14;4.531013049514042e-25;7.013333609438742e-20;5.87
preonly;asm;160;2;2.897237204283027e-19;3.9763381879212625e-14;4.8227414621464895e-25;6.618402007541609e-20;4.77
preonly;asm;160;4;3.344602572668608e-19;4.426149103129826e-14;5.5676776447953565e-25;7.367409717505896e-20;3.98
preonly;asm;160;8;3.4945755078200513e-19;4.5671496648124035e-14;5.817493118629253e-25;7.602231713625545e-20;3.85
preonly;asm;160;16;3.194213197375315e-19;4.492279639603729e-14;5.317256212655571e-25;7.477477315428902e-20;5.53
gmres;cholesky;20;1;4.645349326098916e-16;9.317120483639162e-13;1.809317859548285e-21;3.4673107359966417e-18;1.25
gmres;cholesky;20;2;4.645349326098939e-16;9.317120483639368e-13;1.8093178595482566e-21;3.4673107359964133e-18;1.24
gmres;cholesky;20;4;4.64534932609813e-16;9.317120483638544e-13;1.8093178600479406e-21;3.46731073693025e-18;1.19
gmres;cholesky;20;8;4.645349326098957e-16;9.317120483639446e-13;1.8093178595368642e-21;3.4673107359777753e-18;1.30
gmres;cholesky;20;16;4.645349326098888e-16;9.317120483639299e-13;1.8093178595507355e-21;3.4673107360015263e-18;2.11
gmres;cholesky;40;1;4.645336857313408e-16;9.317443559333796e-13;1.8093102901042696e-21;3.467325219676208e-18;2.35
gmres;cholesky;40;2;4.64533685731361e-16;9.317443559333707e-13;1.8093102900198345e-21;3.467325219543832e-18;1.58
gmres;cholesky;40;4;4.645336857313833e-16;9.317443559333941e-13;1.809310289994318e-21;3.4673252194994165e-18;1.52
gmres;cholesky;40;8;4.645336857313587e-16;9.317443559333632e-13;1.8093102900259162e-21;3.467325219554134e-18;1.53
gmres;cholesky;40;16;4.645336857313991e-16;9.317443559334262e-13;1.809310290009967e-21;3.4673252195280466e-18;2.48
gmres;cholesky;80;1;4.645336128987654e-16;9.317526971677838e-13;1.8093098609649938e-21;3.4673309103725105e-18;10.48
gmres;cholesky;80;2;4.645336128987979e-16;9.317526971676808e-13;1.8093098610401427e-21;3.4673309104516238e-18;3.26
gmres;cholesky;80;4;4.645336128987876e-16;9.317526971676662e-13;1.809309861040094e-21;3.4673309104515545e-18;2.84
gmres;cholesky;80;8;4.645336128987876e-16;9.31752697167665e-13;1.8093098610401916e-21;3.4673309104516812e-18;2.63
gmres;cholesky;160;1;4.645336080945942e-16;9.317548415020809e-13;1.8093098342359912e-21;3.467332473533386e-18;84.87
gmres;cholesky;160;2;4.645336080946515e-16;9.317548415026788e-13;1.8093098342819807e-21;3.467332473739418e-18;11.97
gmres;cholesky;160;4;4.645336080946648e-16;9.31754841502718e-13;1.8093098342820627e-21;3.4673324737395103e-18;9.58
gmres;cholesky;160;8;4.645336080946566e-16;9.317548415027053e-13;1.809309834282166e-21;3.467332473739615e-18;7.81
gmres;lu;20;1;4.645349326098967e-16;9.317120483639325e-13;1.8093178595483156e-21;3.4673107359964137e-18;1.26
gmres;lu;20;2;4.645349326098959e-16;9.317120483639353e-13;1.8093178595483446e-21;3.4673107359964765e-18;1.25
gmres;lu;20;4;4.645349326098532e-16;9.317120483638713e-13;1.80931785953673e-21;3.4673107358993915e-18;1.21
gmres;lu;20;8;4.645349326098908e-16;9.317120483639257e-13;1.8093178595482024e-21;3.4673107359962928e-18;1.31
gmres;lu;20;16;4.645349326099043e-16;9.317120483639467e-13;1.8093178595457356e-21;3.467310735991657e-18;2.06
gmres;lu;40;1;4.645336857313622e-16;9.317443559334058e-13;1.8093102899991368e-21;3.4673252195158797e-18;2.36
gmres;lu;40;2;4.645336857313781e-16;9.317443559334381e-13;1.8093102900822023e-21;3.467325219642711e-18;1.66
gmres;lu;40;4;4.645336857313554e-16;9.317443559333834e-13;1.8093102900257985e-21;3.467325219553956e-18;1.56
gmres;lu;40;8;4.645336857313807e-16;9.317443559334383e-13;1.8093102900746314e-21;3.4673252195974695e-18;1.59
gmres;lu;40;16;4.645336857313438e-16;9.317443559333588e-13;1.8093102900273155e-21;3.467325219556957e-18;2.49
gmres;lu;80;1;4.645336128988255e-16;9.31752697167947e-13;1.8093098610531194e-21;3.467330910477971e-18;9.99
gmres;lu;80;2;4.645336128987845e-16;9.31752697167772e-13;1.8093098610398045e-21;3.467330910451034e-18;3.54
gmres;lu;80;4;4.64533612898792e-16;9.317526971677926e-13;1.8093098610398967e-21;3.467330910451211e-18;3.05
gmres;lu;80;8;4.645336128987941e-16;9.317526971677864e-13;1.809309861039852e-21;3.467330910451144e-18;2.75
gmres;lu;160;1;4.645336080945976e-16;9.31754841501732e-13;1.809309834188869e-21;3.4673324735697997e-18;71.59
gmres;lu;160;2;4.645336080946543e-16;9.317548415023943e-13;1.8093098342827165e-21;3.4673324737408165e-18;13.40
gmres;lu;160;4;4.645336080946805e-16;9.317548415024597e-13;1.809309834282869e-21;3.4673324737411142e-18;10.30
gmres;lu;160;8;4.645336080946718e-16;9.317548415024236e-13;1.809309834277743e-21;3.467332473730428e-18;8.63
gcr;cholesky;20;1;4.645349326099179e-16;9.317120483639675e-13;1.8093178595488998e-21;3.467310735997405e-18;1.24
gcr;cholesky;20;2;4.645349326098923e-16;9.317120483639335e-13;1.809317859548452e-21;3.4673107359966317e-18;1.18
gcr;cholesky;20;4;4.645349326098071e-16;9.317120483638427e-13;1.8093178599918896e-21;3.467310736866992e-18;1.19
gcr;cholesky;20;8;4.645349326098821e-16;9.317120483639176e-13;1.809317859534439e-21;3.4673107359749985e-18;1.27
gcr;cholesky;20;16;4.645349326098887e-16;9.317120483639299e-13;1.8093178595512617e-21;3.4673107360021195e-18;2.12
gcr;cholesky;40;1;4.645336857312858e-16;9.317443559332647e-13;1.8093102900842016e-21;3.467325219653392e-18;2.36
gcr;cholesky;40;2;4.645336857313665e-16;9.317443559333816e-13;1.809310290020928e-21;3.4673252195450757e-18;1.56
