solver;pc;N;np;L2_r;H1_r;L2_c;H1_c;time
gcr;cholesky;40;4;4.645336857313917e-16;9.317443559334109e-13;1.8093102899994054e-21;3.467325219505179e-18;1.50
gcr;cholesky;40;8;4.645336857313656e-16;9.317443559333774e-13;1.8093102900260193e-21;3.467325219554272e-18;1.58
gcr;cholesky;40;16;4.645336857313636e-16;9.317443559333743e-13;1.8093102900259644e-21;3.467325219554184e-18;2.44
gcr;cholesky;80;1;4.645336128986385e-16;9.317526971675331e-13;1.8093098610465633e-21;3.4673309104641142e-18;10.62
gcr;cholesky;80;2;4.645336128989222e-16;9.317526971679312e-13;1.8093098610412697e-21;3.4673309104532805e-18;3.24
gcr;cholesky;80;4;4.645336128989079e-16;9.317526971679045e-13;1.809309861041139e-21;3.4673309104531e-18;2.76
gcr;cholesky;80;8;4.645336128989082e-16;9.317526971679067e-13;1.8093098610412057e-21;3.467330910453187e-18;2.58
gcr;cholesky;160;1;4.645336080949553e-16;9.317548415027954e-13;1.8093098339906834e-21;3.4673324732578167e-18;84.29
gcr;cholesky;160;2;4.645336080942308e-16;9.317548415018395e-13;1.809309834278931e-21;3.467332473734718e-18;11.82
gcr;cholesky;160;4;4.645336080942057e-16;9.317548415017991e-13;1.8093098342787458e-21;3.4673324737343785e-18;9.66
gcr;cholesky;160;8;4.645336080942034e-16;9.317548415017977e-13;1.809309834278726e-21;3.4673324737343896e-18;8.15
gcr;lu;20;1;4.645349326099106e-16;9.317120483639574e-13;1.809317859548486e-21;3.4673107359966525e-18;1.25
gcr;lu;20;2;4.645349326099012e-16;9.317120483639463e-13;1.809317859548444e-21;3.467310735996607e-18;1.27
gcr;lu;20;4;4.645349326098723e-16;9.317120483639089e-13;1.8093178594249737e-21;3.467310735773358e-18;1.21
gcr;lu;20;8;4.645349326099007e-16;9.317120483639465e-13;1.8093178595485052e-21;3.4673107359967095e-18;1.31
gcr;lu;20;16;4.645349326099046e-16;9.317120483639499e-13;1.8093178595486384e-21;3.467310735996959e-18;2.09
gcr;lu;40;1;4.645336857313119e-16;9.317443559333038e-13;1.809310290011494e-21;3.467325219529659e-18;2.34
gcr;lu;40;2;4.645336857313239e-16;9.31744355933328e-13;1.809310290058934e-21;3.46732521961629e-18;1.66
gcr;lu;40;4;4.645336857313275e-16;9.317443559333279e-13;1.8093102900256443e-21;3.4673252195537008e-18;1.54
gcr;lu;40;8;4.645336857313323e-16;9.317443559333325e-13;1.8093102900232177e-21;3.46732521954896e-18;1.56
gcr;lu;40;16;4.645336857311635e-16;9.317443559331603e-13;1.809310288167084e-21;3.4673252159121825e-18;2.46
gcr;lu;80;1;4.645336128985538e-16;9.317526971674073e-13;1.8093098610577458e-21;3.4673309104823755e-18;9.94
gcr;lu;80;2;4.645336128987105e-16;9.317526971676285e-13;1.809309861039317e-21;3.4673309104502706e-18;3.57
gcr;lu;80;4;4.645336128987182e-16;9.317526971676476e-13;1.809309861039431e-21;3.467330910450462e-18;3.09
gcr;lu;80;8;4.645336128987093e-16;9.317526971676266e-13;1.809309861039979e-21;3.467330910451496e-18;2.94
gcr;lu;160;1;4.6453360809559365e-16;9.317548415037243e-13;1.8093098341646604e-21;3.467332473545495e-18;71.55
gcr;lu;160;2;4.645336080947119e-16;9.317548415025096e-13;1.8093098342837633e-21;3.4673324737421727e-18;13.32
gcr;lu;160;4;4.645336080946808e-16;9.317548415024631e-13;1.8093098342836542e-21;3.4673324737420552e-18;10.35
gcr;lu;160;8;4.645336080946893e-16;9.31754841502477e-13;1.8093098342837197e-21;3.467332473742178e-18;8.43
